Frequency,Channel A
(kHz),(dBV)

0.00000000,-59.61425000
0.01220703,-59.99225000
0.02441406,-65.18672000
0.03662109,-74.69675000
0.04882813,-87.54726000
0.06103516,-92.90891000
0.07324219,-97.22840000
0.08544922,-107.61340000
0.09765625,-114.10260000
0.10986328,-98.78674000
0.12207031,-92.61150000
0.13427734,-89.27310000
0.14648438,-86.91422000
0.15869141,-85.88300000
0.17089844,-86.38825000
0.18310547,-88.10860000
0.19531250,-90.46918000
0.20751953,-92.77474000
0.21972656,-93.51613000
0.23193359,-92.48187000
0.24414063,-92.48930000
0.25634766,-94.31628000
0.26855469,-95.00319000
0.28076172,-92.90907000
0.29296875,-90.85542000
0.30517578,-90.13235000
0.31738281,-90.54643000
0.32958984,-91.04755000
0.34179688,-91.21841000
0.35400391,-90.14395000
0.36621094,-89.50942000
0.37841797,-91.69229000
0.39062500,-98.21077000
0.40283203,-106.68640000
0.41503906,-107.01110000
0.42724609,-103.34930000
0.43945313,-98.96877000
0.45166016,-96.87863000
0.46386719,-95.46365000
0.47607422,-94.26022000
0.48828125,-93.81919000
0.50048828,-93.57815000
0.51269531,-93.75764000
0.52490234,-96.08944000
0.53710938,-105.36730000
0.54931641,-99.21967000
0.56152344,-91.21032000
0.57373047,-88.03234000
0.58593750,-87.26498000
0.59814453,-88.05957000
0.61035156,-89.78283000
0.62255859,-92.37217000
0.63476563,-96.30013000
0.64697266,-99.43614000
0.65917969,-95.03244000
0.67138672,-91.24991000
0.68359375,-90.92345000
0.69580078,-94.34524000
0.70800781,-100.36080000
0.72021484,-101.90050000
0.73242188,-104.45990000
0.74462891,-105.77200000
0.75683594,-99.08020000
0.76904297,-92.63235000
0.78125000,-89.30627000
0.79345703,-89.43025000
0.80566406,-93.41673000
0.81787109,-98.35100000
0.83007813,-94.23346000
0.84228516,-92.24296000
0.85449219,-92.08133000
0.86669922,-93.38706000
0.87890625,-96.63951000
0.89111328,-100.95230000
0.90332031,-111.61120000
0.91552734,-105.68600000
0.92773438,-100.65720000
0.93994141,-99.56354000
0.95214844,-99.87804000
0.96435547,-103.37410000
0.97656250,-103.15100000
0.98876953,-100.01580000
1.00097656,-102.28910000
1.01318359,-115.09670000
1.02539063,-104.71660000
1.03759766,-98.97031000
1.04980469,-96.09170000
1.06201172,-94.49907000
1.07421875,-93.02644000
1.08642578,-92.22482000
1.09863281,-92.68114000
1.11083984,-93.31828000
1.12304688,-92.06679000
1.13525391,-89.24542000
1.14746094,-87.12769000
1.15966797,-86.81255000
1.17187500,-88.64928000
1.18408203,-93.08510000
1.19628906,-100.26020000
1.20849609,-99.16747000
1.22070313,-95.17943000
1.23291016,-93.18368000
1.24511719,-93.34664000
1.25732422,-96.96593000
1.26953125,-106.32790000
1.28173828,-98.45236000
1.29394531,-94.22680000
1.30615234,-93.84930000
1.31835938,-97.09842000
1.33056641,-104.47370000
1.34277344,-103.86900000
1.35498047,-101.69850000
1.36718750,-101.69810000
1.37939453,-100.53890000
1.39160156,-100.87590000
1.40380859,-109.54290000
1.41601563,-100.35520000
1.42822266,-92.16393000
1.44042969,-88.20555000
1.45263672,-86.62798000
1.46484375,-86.60095000
1.47705078,-86.98120000
1.48925781,-87.71432000
1.50146484,-89.93292000
1.51367188,-94.01104000
1.52587891,-99.20355000
1.53808594,-102.45790000
1.55029297,-104.93210000
1.56250000,-107.63960000
1.57470703,-104.45420000
1.58691406,-98.25435000
1.59912109,-91.98956000
1.61132813,-87.89546000
1.62353516,-85.73958000
1.63574219,-85.50722000
1.64794922,-87.10944000
1.66015625,-89.21361000
1.67236328,-89.81003000
1.68457031,-90.53043000
1.69677734,-92.93991000
1.70898438,-95.80168000
1.72119141,-93.11163000
1.73339844,-89.70165000
1.74560547,-88.80437000
1.75781250,-90.36782000
1.77001953,-94.21970000
1.78222656,-100.97760000
1.79443359,-112.18940000
1.80664063,-113.85430000
1.81884766,-128.82680000
1.83105469,-118.19710000
1.84326172,-114.79500000
1.85546875,-108.31480000
1.86767578,-105.50430000
1.87988281,-107.37510000
1.89208984,-115.34010000
1.90429688,-105.89590000
1.91650391,-96.46562000
1.92871094,-92.56871000
1.94091797,-92.62915000
1.95312500,-96.91963000
1.96533203,-99.27395000
1.97753906,-94.94193000
1.98974609,-94.51442000
2.00195313,-96.49055000
2.01416016,-95.09246000
2.02636719,-91.03825000
2.03857422,-88.79552000
2.05078125,-88.71457000
2.06298828,-90.56091000
2.07519531,-93.54388000
2.08740234,-94.96036000
2.09960938,-94.86922000
2.11181641,-95.42596000
2.12402344,-95.50125000
2.13623047,-93.95392000
2.14843750,-92.88873000
2.16064453,-93.84157000
2.17285156,-96.75562000
2.18505859,-98.11538000
2.19726563,-97.55956000
2.20947266,-95.70557000
2.22167969,-93.43857000
2.23388672,-93.20870000
2.24609375,-94.66743000
2.25830078,-98.62126000
2.27050781,-126.29630000
2.28271484,-97.36777000
2.29492188,-92.86792000
2.30712891,-92.34795000
2.31933594,-94.72844000
2.33154297,-99.53928000
2.34375000,-102.72930000
2.35595703,-107.99800000
2.36816406,-124.58610000
2.38037109,-108.15810000
2.39257813,-96.45911000
2.40478516,-91.08971000
2.41699219,-89.11160000
2.42919922,-88.73918000
2.44140625,-89.04837000
2.45361328,-90.55260000
2.46582031,-94.94208000
2.47802734,-94.18770000
2.49023438,-88.46317000
2.50244141,-86.51714000
2.51464844,-87.65135000
2.52685547,-91.96582000
2.53906250,-96.51530000
2.55126953,-94.13580000
2.56347656,-94.04469000
2.57568359,-96.41295000
2.58789063,-98.19801000
2.60009766,-99.42005000
2.61230469,-102.40460000
2.62451172,-109.58930000
2.63671875,-100.61200000
2.64892578,-94.53048000
2.66113281,-92.71179000
2.67333984,-93.97538000
2.68554688,-97.90847000
2.69775391,-101.57160000
2.70996094,-100.37340000
2.72216797,-97.52341000
2.73437500,-93.98808000
2.74658203,-91.12387000
2.75878906,-89.60213000
2.77099609,-89.66277000
2.78320313,-91.29543000
2.79541016,-93.39671000
2.80761719,-93.43614000
2.81982422,-92.18095000
2.83203125,-92.65395000
2.84423828,-96.97710000
2.85644531,-107.68530000
2.86865234,-99.90886000
2.88085938,-97.05151000
2.89306641,-95.51781000
2.90527344,-93.07382000
2.91748047,-90.84942000
2.92968750,-91.03976000
2.94189453,-95.60417000
2.95410156,-111.78790000
2.96630859,-94.26747000
2.97851563,-90.06828000
2.99072266,-89.28150000
3.00292969,-90.89035000
3.01513672,-92.62280000
3.02734375,-91.32861000
3.03955078,-90.71205000
3.05175781,-92.32034000
3.06396484,-94.75776000
3.07617188,-94.49294000
3.08837891,-92.48002000
3.10058594,-91.68240000
3.11279297,-93.32276000
3.12500000,-95.56580000
3.13720703,-93.11951000
3.14941406,-91.02784000
3.16162109,-90.83347000
3.17382813,-92.43511000
3.18603516,-97.31908000
3.19824219,-104.89520000
3.21044922,-93.98944000
3.22265625,-89.77683000
3.23486328,-88.17002000
3.24707031,-88.04694000
3.25927734,-89.17937000
3.27148438,-91.54992000
3.28369141,-94.44830000
3.29589844,-95.01761000
3.30810547,-93.20755000
3.32031250,-90.94061000
3.33251953,-88.61599000
3.34472656,-87.64840000
3.35693359,-89.43039000
3.36914063,-95.79646000
3.38134766,-105.13040000
3.39355469,-97.33304000
3.40576172,-96.60106000
3.41796875,-98.22877000
3.43017578,-94.13351000
3.44238281,-91.67190000
3.45458984,-93.22282000
3.46679688,-98.09704000
3.47900391,-101.00530000
3.49121094,-104.78230000
3.50341797,-108.34410000
3.51562500,-96.02309000
3.52783203,-92.75413000
3.54003906,-93.44604000
3.55224609,-98.46124000
3.56445313,-110.63490000
3.57666016,-102.95510000
3.58886719,-100.59470000
3.60107422,-94.01483000
3.61328125,-90.38977000
3.62548828,-91.29998000
3.63769531,-97.82736000
3.64990234,-96.03507000
3.66210938,-92.19390000
3.67431641,-91.11530000
3.68652344,-91.40639000
3.69873047,-94.71706000
3.71093750,-101.73260000
3.72314453,-99.43459000
3.73535156,-98.88276000
3.74755859,-101.89840000
3.75976563,-96.80603000
3.77197266,-92.78932000
3.78417969,-92.50226000
3.79638672,-95.30154000
3.80859375,-95.87825000
3.82080078,-93.59261000
3.83300781,-94.68230000
3.84521484,-100.34490000
3.85742188,-103.04010000
3.86962891,-102.25150000
3.88183594,-106.48090000
3.89404297,-104.85750000
3.90625000,-107.47390000
3.91845703,-99.74697000
3.93066406,-92.39299000
3.94287109,-88.79866000
3.95507813,-86.91429000
3.96728516,-86.28821000
3.97949219,-87.21767000
3.99169922,-90.20793000
4.00390625,-95.92037000
4.01611328,-105.37700000
4.02832031,-104.39140000
4.04052734,-99.45758000
4.05273438,-101.19000000
4.06494141,-116.37190000
4.07714844,-97.46313000
4.08935547,-93.22984000
4.10156250,-92.85916000
4.11376953,-94.45052000
4.12597656,-97.95399000
4.13818359,-101.77250000
4.15039063,-94.95899000
4.16259766,-91.47087000
4.17480469,-90.35272000
4.18701172,-89.96725000
4.19921875,-89.64140000
4.21142578,-89.60634000
4.22363281,-90.45042000
4.23583984,-93.11411000
4.24804688,-98.61151000
4.26025391,-99.36492000
4.27246094,-95.54440000
4.28466797,-93.49539000
4.29687500,-92.57042000
4.30908203,-92.36634000
4.32128906,-92.33399000
4.33349609,-93.46135000
4.34570313,-96.87936000
4.35791016,-99.10002000
4.37011719,-97.27309000
4.38232422,-98.04650000
4.39453125,-98.33747000
4.40673828,-93.63171000
4.41894531,-91.20895000
4.43115234,-91.93381000
4.44335938,-95.21893000
4.45556641,-98.56786000
4.46777344,-98.79685000
4.47998047,-98.01961000
4.49218750,-96.58640000
4.50439453,-93.20627000
4.51660156,-89.98947000
4.52880859,-88.24675000
4.54101563,-88.14544000
4.55322266,-89.68121000
4.56542969,-93.04298000
4.57763672,-97.57210000
4.58984375,-98.10028000
4.60205078,-97.30327000
4.61425781,-97.79366000
4.62646484,-98.26991000
4.63867188,-98.92464000
4.65087891,-100.78850000
4.66308594,-96.62556000
4.67529297,-91.91563000
4.68750000,-90.81551000
4.69970703,-92.75996000
4.71191406,-97.26749000
4.72412109,-102.60080000
4.73632813,-101.31060000
4.74853516,-97.03874000
4.76074219,-95.96913000
4.77294922,-100.08790000
4.78515625,-109.09400000
4.79736328,-96.71825000
4.80957031,-93.58792000
4.82177734,-94.28796000
4.83398438,-99.79222000
4.84619141,-112.48890000
4.85839844,-101.94200000
4.87060547,-100.55060000
4.88281250,-96.35513000
4.89501953,-94.35645000
4.90722656,-95.64677000
4.91943359,-99.41414000
4.93164063,-103.96450000
4.94384766,-104.33370000
4.95605469,-100.26130000
4.96826172,-96.88893000
4.98046875,-95.12086000
4.99267578,-94.30708000
5.00488281,-94.61121000
5.01708984,-97.55144000
5.02929688,-102.34390000
5.04150391,-97.98652000
5.05371094,-96.75534000
5.06591797,-98.72826000
5.07812500,-104.11850000
5.09033203,-107.49140000
5.10253906,-98.41449000
5.11474609,-95.97723000
5.12695313,-96.94881000
5.13916016,-101.09530000
5.15136719,-105.30450000
5.16357422,-100.70300000
5.17578125,-97.67739000
5.18798828,-97.84720000
5.20019531,-100.91330000
5.21240234,-99.67515000
5.22460938,-96.24675000
5.23681641,-94.80462000
5.24902344,-94.51421000
5.26123047,-95.23808000
5.27343750,-97.77802000
5.28564453,-104.50880000
5.29785156,-115.75130000
5.31005859,-104.97220000
5.32226563,-103.47180000
5.33447266,-94.33589000
5.34667969,-89.40751000
5.35888672,-88.15836000
5.37109375,-89.10767000
5.38330078,-90.44453000
5.39550781,-91.34702000
5.40771484,-93.37897000
5.41992188,-95.66031000
5.43212891,-92.40739000
5.44433594,-90.83794000
5.45654297,-93.41838000
5.46875000,-105.05060000
5.48095703,-99.38341000
5.49316406,-94.30596000
5.50537109,-93.59249000
5.51757813,-93.86313000
5.52978516,-94.10255000
5.54199219,-94.04403000
5.55419922,-94.53474000
5.56640625,-97.43747000
5.57861328,-103.28220000
5.59082031,-103.30050000
5.60302734,-97.93330000
5.61523438,-95.05291000
5.62744141,-95.29603000
5.63964844,-97.02296000
5.65185547,-96.38694000
5.66406250,-96.34743000
5.67626953,-98.38890000
5.68847656,-98.54865000
5.70068359,-98.77994000
5.71289063,-101.63980000
5.72509766,-104.31760000
5.73730469,-101.80510000
