Time,Channel A
(ms),(V)

-25.00581853,-0.17810600
-25.00081853,-0.02304148
-24.99581853,0.13351850
-24.99081853,0.27637560
-24.98581853,0.39237650
-24.98081853,0.47029020
-24.97581853,0.50300610
-24.97081853,0.48496960
-24.96581853,0.41950740
-24.96081853,0.31919310
-24.95581853,0.17682420
-24.95081853,0.02240059
-24.94581853,-0.13156530
-24.94081853,-0.27603990
-24.93581853,-0.39167450
-24.93081853,-0.46919160
-24.92581853,-0.50254830
-24.92081853,-0.48786890
-24.91581853,-0.42127750
-24.91081853,-0.31311990
-24.90581853,-0.17859430
-24.90081853,-0.02429273
-24.89581853,0.13214520
-24.89081853,0.27625360
-24.88581853,0.39298680
-24.88081853,0.47102270
-24.87581853,0.50276190
-24.87081853,0.48695330
-24.86581853,0.42286450
-24.86081853,0.31534780
-24.85581853,0.17758720
-24.85081853,0.02749718
-24.84581853,-0.13318280
-24.84081853,-0.27765740
-24.83581853,-0.39451280
-24.83081853,-0.46931370
-24.82581853,-0.50303660
-24.82081853,-0.48451190
-24.81581853,-0.41853090
-24.81081853,-0.31550030
-24.80581853,-0.17709890
-24.80081853,-0.02417066
-24.79581853,0.13290810
-24.79081853,0.27527700
-24.78581853,0.39374980
-24.78081853,0.47114470
-24.77581853,0.50239570
-24.77081854,0.48521380
-24.76581854,0.42124700
-24.76081854,0.31733150
-24.75581854,0.17670220
-24.75081854,0.02487259
-24.74581854,-0.12958160
-24.74081854,-0.27567370
-24.73581854,-0.39155250
-24.73081854,-0.47044280
-24.72581854,-0.50218210
-24.72081854,-0.48649560
-24.71581854,-0.41978210
-24.71081854,-0.31412700
-24.70581854,-0.17685480
-24.70081854,-0.02255318
-24.69581854,0.13452560
-24.69081854,0.27625360
-24.68581854,0.39350570
-24.68081854,0.47029020
-24.67581854,0.50352490
-24.67081854,0.48622090
-24.66581854,0.41901910
-24.66081854,0.31571400
-24.65581854,0.17758720
-24.65081854,0.02374340
-24.64581854,-0.13330480
-24.64081854,-0.27716910
-24.63581854,-0.39091160
-24.63081854,-0.46919160
-24.62581854,-0.50392160
-24.62081854,-0.48512220
-24.61581854,-0.42176580
-24.61081854,-0.31586660
-24.60581854,-0.17761770
-24.60081854,-0.02203436
-24.59581854,0.13351850
-24.59081854,0.27713860
-24.58581854,0.39387190
-24.58081854,0.47227390
-24.57581854,0.50364700
-24.57081854,0.48521380
-24.56581854,0.42051460
-24.56081854,0.31373030
-24.55581854,0.17856380
-24.55081854,0.02685629
-24.54581854,-0.13031400
-24.54081854,-0.27579580
-24.53581854,-0.39103360
-24.53081854,-0.47242650
-24.52581854,-0.50291450
-24.52081854,-0.48561050
-24.51581854,-0.41978210
-24.51081854,-0.31537830
-24.50581854,-0.17600020
-24.50081854,-0.02154607
-24.49581854,0.13266400
-24.49081854,0.27552110
-24.48581854,0.39313950
-24.48081854,0.47239600
-24.47581854,0.50288400
-24.47081854,0.48496960
-24.46581854,0.42011780
-24.46081854,0.31571400
-24.45581854,0.17807550
-24.45081854,0.02200384
-24.44581854,-0.13092440
-24.44081854,-0.27668080
