Time,Channel A
(ms),(V)

-25.00748456,-0.50093080
-25.00248456,-0.50019840
-24.99748457,0.50688200
-24.99248457,0.50126650
-24.98748457,0.49952700
-24.98248457,0.50163280
-24.97748457,0.50151070
-24.97248457,0.50215150
-24.96748457,0.50077820
-24.96248457,0.50065610
-24.95748457,0.50041200
-24.95248457,0.50041200
-24.94748457,0.50288400
-24.94248457,0.50126650
-24.93748457,0.50163280
-24.93248457,0.50102240
-24.92748457,0.50138860
-24.92248457,-0.50068660
-24.91748457,-0.50154120
-24.91248457,-0.50181590
-24.90748457,-0.50154120
-24.90248457,-0.49931330
-24.89748457,-0.49818410
-24.89248457,-0.50044250
-24.88748457,-0.49980160
-24.88248457,-0.49757380
-24.87748457,-0.49906920
-24.87248457,-0.49806210
-24.86748457,-0.49919130
-24.86248457,-0.49943540
-24.85748457,-0.50032040
-24.85248457,0.50053410
-24.84748457,0.50202950
-24.84248457,0.50190740
-24.83748457,0.50227360
-24.83248457,0.49977110
-24.82748457,0.50202950
-24.82248457,0.50065610
-24.81748457,0.50178530
-24.81248457,0.49964900
-24.80748457,0.50114450
-24.80248457,0.50041200
-24.79748457,0.50001530
-24.79248457,0.50001530
-24.78748457,0.50288400
-24.78248457,-0.50154120
-24.77748457,-0.50019840
-24.77248457,-0.50044250
-24.76748457,-0.50032040
-24.76248457,-0.49967960
-24.75748457,-0.50056460
-24.75248457,-0.49943540
-24.74748457,-0.50154120
-24.74248457,-0.49980160
-24.73748457,-0.49830620
-24.73248457,-0.50093080
-24.72748457,-0.50141910
-24.72248457,-0.49870300
-24.71748457,-0.49955750
-24.71248457,-0.50193790
-24.70748457,0.50016780
-24.70248457,0.50239570
-24.69748457,0.50151070
-24.69248457,0.50239570
-24.68748457,0.50276190
-24.68248457,0.50126650
-24.67748457,0.50126650
-24.67248457,0.49952700
-24.66748457,0.50227360
-24.66248457,0.49867250
-24.65748457,0.50090030
-24.65248457,0.49839780
-24.64748457,0.50178530
-24.64248457,0.50138860
-24.63748457,-0.49943540
-24.63248457,-0.49818410
-24.62748457,-0.49967960
-24.62248457,-0.50129710
-24.61748457,-0.49992370
-24.61248457,-0.49931330
-24.60748457,-0.49943540
-24.60248458,-0.49931330
-24.59748458,-0.50193790
-24.59248458,-0.50154120
-24.58748458,-0.49967960
-24.58248458,-0.50068660
-24.57748458,-0.49992370
-24.57248458,-0.49769590
-24.56748458,0.50239570
-24.56248458,0.50090030
-24.55748458,0.50202950
-24.55248458,0.49903870
-24.54748458,0.50090030
-24.54248458,0.49989320
-24.53748458,0.49977110
-24.53248458,0.50126650
-24.52748458,0.50215150
-24.52248458,0.49989320
-24.51748458,0.50016780
-24.51248458,0.50102240
-24.50748458,0.50065610
-24.50248458,0.49989320
-24.49748458,-0.50428780
-24.49248458,-0.49919130
-24.48748458,-0.50032040
-24.48248458,-0.50019840
-24.47748458,-0.50019840
-24.47248458,-0.50117500
-24.46748458,-0.49992370
-24.46248458,-0.50068660
-24.45748458,-0.50019840
-24.45248458,-0.50032040
-24.44748458,-0.49794000
-24.44248458,-0.49919130
