Frequency,Channel A
(kHz),(dBV)

0.00000000,-68.73022000
0.01220703,-69.23940000
0.02441406,-74.97441000
0.03662109,-85.64274000
0.04882813,-91.27177000
0.06103516,-93.40118000
0.07324219,-101.51910000
0.08544922,-94.18967000
0.09765625,-88.20850000
0.10986328,-86.57357000
0.12207031,-87.87537000
0.13427734,-92.48702000
0.14648438,-96.25356000
0.15869141,-96.06368000
0.17089844,-102.90030000
0.18310547,-106.35940000
0.19531250,-99.70850000
0.20751953,-98.36524000
0.21972656,-97.24491000
0.23193359,-95.50043000
0.24414063,-94.70722000
0.25634766,-97.00642000
0.26855469,-107.86820000
0.28076172,-101.17030000
0.29296875,-95.43133000
0.30517578,-93.72311000
0.31738281,-93.02494000
0.32958984,-92.11327000
0.34179688,-91.00177000
0.35400391,-90.30270000
0.36621094,-90.54988000
0.37841797,-92.07542000
0.39062500,-94.89513000
0.40283203,-98.98159000
0.41503906,-104.40990000
0.42724609,-105.21300000
0.43945313,-98.67454000
0.45166016,-93.95456000
0.46386719,-92.59963000
0.47607422,-94.62414000
0.48828125,-98.76542000
0.50048828,-95.21969000
0.51269531,-92.19243000
0.52490234,-92.67475000
0.53710938,-96.20945000
0.54931641,-98.73473000
0.56152344,-96.79541000
0.57373047,-92.51411000
0.58593750,-90.54836000
0.59814453,-91.71516000
0.61035156,-95.22819000
0.62255859,-99.40278000
0.63476563,-101.40120000
0.64697266,-95.41548000
0.65917969,-90.55487000
0.67138672,-88.51035000
0.68359375,-88.57865000
0.69580078,-89.48447000
0.70800781,-89.90322000
0.72021484,-89.68140000
0.73242188,-89.55993000
0.74462891,-90.87715000
0.75683594,-94.95968000
0.76904297,-105.43970000
0.78125000,-97.64713000
0.79345703,-93.40356000
0.80566406,-92.82009000
0.81787109,-93.60744000
0.83007813,-99.25298000
0.84228516,-102.37600000
0.85449219,-94.31746000
0.86669922,-95.46120000
0.87890625,-98.58099000
0.89111328,-100.31920000
0.90332031,-96.82202000
0.91552734,-96.73949000
0.92773438,-91.76523000
0.93994141,-99.74419000
0.95214844,-73.24420000
0.96435547,-56.42690000
0.97656250,-47.08006000
0.98876953,-42.18767000
1.00097656,-40.80562000
1.01318359,-42.71480000
1.02539063,-48.21035000
1.03759766,-58.40203000
1.04980469,-77.39339000
1.06201172,-99.26048000
1.07421875,-97.33270000
1.08642578,-88.60751000
1.09863281,-88.33791000
1.11083984,-89.88107000
1.12304688,-93.19748000
1.13525391,-99.40361000
1.14746094,-107.67290000
1.15966797,-103.75390000
1.17187500,-98.36567000
1.18408203,-95.78951000
1.19628906,-95.43832000
1.20849609,-95.66493000
1.22070313,-96.97404000
1.23291016,-98.22075000
1.24511719,-98.30781000
1.25732422,-99.01820000
1.26953125,-101.14210000
1.28173828,-107.54140000
1.29394531,-113.52240000
1.30615234,-103.61800000
1.31835938,-99.01334000
1.33056641,-95.71765000
1.34277344,-92.94621000
1.35498047,-90.98470000
1.36718750,-90.46883000
1.37939453,-91.68819000
1.39160156,-94.52414000
1.40380859,-99.71879000
1.41601563,-109.80610000
1.42822266,-97.67776000
1.44042969,-93.97882000
1.45263672,-91.77425000
1.46484375,-91.46909000
1.47705078,-93.50938000
1.48925781,-92.49956000
1.50146484,-91.58807000
1.51367188,-94.05519000
1.52587891,-96.80149000
1.53808594,-95.62384000
1.55029297,-94.19120000
1.56250000,-93.15171000
1.57470703,-91.34739000
1.58691406,-88.74447000
1.59912109,-87.65083000
1.61132813,-89.29787000
1.62353516,-94.43022000
1.63574219,-104.68180000
1.64794922,-115.81380000
1.66015625,-107.41200000
1.67236328,-98.65466000
1.68457031,-93.98729000
1.69677734,-92.42441000
1.70898438,-93.97140000
1.72119141,-96.90591000
1.73339844,-95.89720000
1.74560547,-94.18002000
1.75781250,-93.82389000
1.77001953,-94.22066000
1.78222656,-93.92377000
1.79443359,-93.61493000
1.80664063,-94.78629000
1.81884766,-98.11528000
1.83105469,-103.44470000
1.84326172,-103.29090000
1.85546875,-99.88960000
1.86767578,-95.12192000
1.87988281,-91.17374000
1.89208984,-89.93549000
1.90429688,-92.18604000
1.91650391,-101.62850000
1.92871094,-99.23058000
1.94091797,-91.80183000
1.95312500,-88.61404000
1.96533203,-87.51999000
1.97753906,-88.54910000
1.98974609,-91.56432000
2.00195313,-96.56174000
2.01416016,-105.42050000
2.02636719,-108.62780000
2.03857422,-99.88342000
2.05078125,-96.28165000
2.06298828,-98.78674000
2.07519531,-101.15800000
2.08740234,-94.70676000
2.09960938,-93.56091000
2.11181641,-94.57536000
2.12402344,-94.51852000
2.13623047,-94.12119000
2.14843750,-93.71098000
2.16064453,-92.79271000
2.17285156,-92.66313000
2.18505859,-94.64912000
2.19726563,-100.36930000
2.20947266,-116.38290000
2.22167969,-99.60323000
2.23388672,-94.71154000
2.24609375,-93.03321000
2.25830078,-92.30220000
2.27050781,-91.18195000
2.28271484,-89.89869000
2.29492188,-89.34524000
2.30712891,-90.59849000
2.31933594,-91.86055000
2.33154297,-89.12280000
2.34375000,-87.84705000
2.35595703,-90.50399000
2.36816406,-101.83880000
2.38037109,-95.47219000
2.39257813,-90.70879000
2.40478516,-90.60035000
2.41699219,-92.76701000
2.42919922,-96.25336000
2.44140625,-100.86440000
2.45361328,-101.14570000
2.46582031,-96.64382000
2.47802734,-95.36159000
2.49023438,-94.87331000
2.50244141,-90.89111000
2.51464844,-87.77351000
2.52685547,-86.90494000
2.53906250,-87.43916000
2.55126953,-88.44586000
2.56347656,-91.43623000
2.57568359,-99.48009000
2.58789063,-98.24042000
2.60009766,-95.67684000
2.61230469,-97.48810000
2.62451172,-98.95436000
2.63671875,-96.14350000
2.64892578,-93.93671000
2.66113281,-94.18297000
2.67333984,-96.90994000
2.68554688,-104.05380000
2.69775391,-105.58360000
2.70996094,-97.76535000
2.72216797,-98.84427000
2.73437500,-104.31320000
2.74658203,-98.15912000
2.75878906,-95.18608000
2.77099609,-93.22765000
2.78320313,-88.70338000
2.79541016,-86.18829000
2.80761719,-86.54927000
2.81982422,-87.73271000
2.83203125,-89.43661000
2.84423828,-93.66769000
2.85644531,-95.75465000
2.86865234,-93.63524000
2.88085938,-102.15320000
2.89306641,-101.60330000
2.90527344,-103.11440000
2.91748047,-107.44900000
2.92968750,-92.15751000
2.94189453,-100.39110000
2.95410156,-64.83428000
2.96630859,-49.57429000
2.97851563,-41.06820000
2.99072266,-36.77970000
3.00292969,-35.92483000
3.01513672,-38.37219000
3.02734375,-44.51707000
3.03955078,-55.70860000
3.05175781,-77.30155000
3.06396484,-103.88930000
3.07617188,-109.96970000
3.08837891,-91.77601000
3.10058594,-99.22943000
3.11279297,-97.49174000
3.12500000,-91.31429000
3.13720703,-91.16785000
3.14941406,-94.72882000
3.16162109,-95.44807000
3.17382813,-94.88106000
3.18603516,-94.63586000
3.19824219,-92.51917000
3.21044922,-92.84237000
3.22265625,-99.38324000
3.23486328,-97.85041000
3.24707031,-93.58690000
3.25927734,-94.18367000
3.27148438,-99.48891000
3.28369141,-100.94010000
3.29589844,-98.16908000
3.30810547,-97.22211000
3.32031250,-98.22278000
3.33251953,-99.51155000
3.34472656,-97.03132000
3.35693359,-93.72305000
3.36914063,-92.04937000
3.38134766,-92.51788000
3.39355469,-95.40437000
3.40576172,-99.62531000
3.41796875,-103.72770000
3.43017578,-107.74160000
3.44238281,-103.67280000
3.45458984,-104.66700000
3.46679688,-107.31640000
3.47900391,-100.12820000
3.49121094,-95.76435000
3.50341797,-93.14800000
3.51562500,-91.55434000
3.52783203,-90.62695000
3.54003906,-90.62763000
3.55224609,-92.29871000
3.56445313,-95.03990000
3.57666016,-92.43401000
3.58886719,-88.57658000
3.60107422,-87.37604000
3.61328125,-88.98453000
3.62548828,-92.80041000
3.63769531,-96.97967000
3.64990234,-105.71240000
3.66210938,-102.32560000
3.67431641,-96.01566000
3.68652344,-94.97761000
3.69873047,-97.31144000
3.71093750,-102.19340000
3.72314453,-100.31530000
3.73535156,-97.82843000
3.74755859,-97.44622000
3.75976563,-96.67325000
3.77197266,-95.14545000
3.78417969,-94.62491000
3.79638672,-96.60144000
3.80859375,-103.77480000
3.82080078,-99.03122000
3.83300781,-93.75140000
3.84521484,-92.90046000
3.85742188,-95.49366000
3.86962891,-102.29740000
3.88183594,-99.29733000
3.89404297,-94.71790000
3.90625000,-92.87670000
3.91845703,-92.25777000
3.93066406,-93.23373000
3.94287109,-96.97990000
3.95507813,-105.21780000
3.96728516,-114.59370000
3.97949219,-118.33590000
3.99169922,-107.02480000
4.00390625,-100.74470000
4.01611328,-98.67038000
4.02832031,-96.58260000
4.04052734,-91.52154000
4.05273438,-88.06358000
4.06494141,-87.25219000
4.07714844,-89.03944000
4.08935547,-92.69078000
4.10156250,-93.19611000
4.11376953,-92.00855000
4.12597656,-93.55954000
4.13818359,-94.80717000
4.15039063,-94.44405000
4.16259766,-101.69460000
4.17480469,-97.31739000
4.18701172,-89.55548000
4.19921875,-86.85524000
4.21142578,-85.96652000
4.22363281,-86.48839000
4.23583984,-89.01431000
4.24804688,-94.87308000
4.26025391,-105.41920000
4.27246094,-100.85360000
4.28466797,-94.08076000
4.29687500,-90.41016000
4.30908203,-90.51444000
4.32128906,-94.75545000
4.33349609,-106.74810000
4.34570313,-105.65950000
4.35791016,-96.64595000
4.37011719,-92.39882000
4.38232422,-91.85223000
4.39453125,-94.88765000
4.40673828,-96.93089000
4.41894531,-95.35339000
4.43115234,-94.89449000
4.44335938,-94.18113000
4.45556641,-94.17467000
4.46777344,-94.56233000
4.47998047,-94.64852000
4.49218750,-95.88959000
4.50439453,-97.98099000
4.51660156,-97.59963000
4.52880859,-95.68261000
4.54101563,-92.61760000
4.55322266,-89.33188000
4.56542969,-87.78992000
4.57763672,-88.54572000
4.58984375,-90.83164000
4.60205078,-92.58730000
4.61425781,-93.55775000
4.62646484,-93.89031000
4.63867188,-92.58951000
4.65087891,-90.12517000
4.66308594,-88.04372000
4.67529297,-87.21562000
4.68750000,-87.37994000
4.69970703,-87.73772000
4.71191406,-87.89669000
4.72412109,-88.13272000
4.73632813,-89.16057000
4.74853516,-91.90804000
4.76074219,-97.81564000
4.77294922,-110.54210000
4.78515625,-107.91280000
4.79736328,-98.23402000
4.80957031,-93.43810000
4.82177734,-91.30603000
4.83398438,-89.63467000
4.84619141,-87.88189000
4.85839844,-86.78499000
4.87060547,-86.93030000
4.88281250,-86.80093000
4.89501953,-88.00103000
4.90722656,-91.59637000
4.91943359,-92.45448000
4.93164063,-90.61497000
4.94384766,-89.81335000
4.95605469,-68.12016000
4.96826172,-54.66755000
4.98046875,-46.98112000
4.99267578,-43.28474000
5.00488281,-42.96223000
5.01708984,-45.96779000
5.02929688,-52.78995000
5.04150391,-64.90907000
5.05371094,-85.62016000
5.06591797,-91.52443000
5.07812500,-94.49956000
5.09033203,-110.66670000
5.10253906,-100.41700000
5.11474609,-94.68365000
5.12695313,-94.02923000
5.13916016,-91.88979000
5.15136719,-90.38106000
5.16357422,-90.83894000
5.17578125,-91.12180000
5.18798828,-92.43180000
5.20019531,-95.20686000
5.21240234,-93.31636000
5.22460938,-91.02332000
5.23681641,-91.26979000
5.24902344,-92.96844000
5.26123047,-93.23325000
5.27343750,-92.85040000
5.28564453,-95.28545000
5.29785156,-104.57190000
5.31005859,-102.54350000
5.32226563,-94.82674000
5.33447266,-92.62823000
5.34667969,-92.97586000
5.35888672,-93.33431000
5.37109375,-92.57977000
5.38330078,-92.39177000
5.39550781,-93.12106000
5.40771484,-94.33978000
5.41992188,-95.62562000
5.43212891,-97.00146000
5.44433594,-98.46324000
5.45654297,-101.01510000
5.46875000,-100.39400000
5.48095703,-97.92263000
5.49316406,-100.64240000
5.50537109,-113.42380000
5.51757813,-95.35120000
5.52978516,-89.84615000
5.54199219,-87.90289000
5.55419922,-88.82724000
5.56640625,-92.68909000
5.57861328,-100.46100000
5.59082031,-106.40180000
5.60302734,-101.31470000
5.61523438,-102.83770000
5.62744141,-99.58843000
5.63964844,-93.47022000
5.65185547,-91.45466000
5.66406250,-91.36497000
5.67626953,-91.00262000
5.68847656,-90.29777000
5.70068359,-90.63282000
5.71289063,-93.80805000
5.72509766,-102.68480000
5.73730469,-103.37500000
