Frequency component (kHz),Shifted frequency (kHz),,,
7,7,,,f_c
21,21,,,100
35,35,,,
49,49,,,
63,63,,,
77,77,,,
91,91,,,
105,95,,,
119,81,,,
133,67,,,
147,53,,,
161,39,,,
175,25,,,
189,11,,,
203,3,,,
217,17,,,
231,31,,,
245,45,,,
259,59,,,
273,73,,,
287,87,,,
301,99,,,
315,85,,,
329,71,,,
343,57,,,
357,43,,,
371,29,,,
385,15,,,
399,1,,,
413,13,,,
427,27,,,
441,41,,,
455,55,,,
469,69,,,
483,83,,,
497,97,,,
511,89,,,
525,75,,,
539,61,,,
553,47,,,
567,33,,,
581,19,,,
595,5,,,
609,9,,,
623,23,,,
637,37,,,
651,51,,,
665,65,,,
679,79,,,
693,93,,,
