Time,Channel A,Frequency,Rectangular,Hann,Flat-top
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-5.00043418,-0.5030366,0,-68.18159,-68.14643,-68.0756
-4.99993018,-0.123722,0.06055075,-29.50004,-67.06525,-66.12255
-4.99942618,0.5082552,0.12110149,-33.17751,-70.82885,-67.40929
-4.99892218,0.5048677,0.18165224,-34.07841,-73.27165,-69.70465
-4.99841818,0.5017853,0.24220299,-28.88397,-68.13358,-70.40393
-4.99791418,0.5013886,0.30275373,-49.69847,-84.68491,-84.81201
-4.99741018,0.4998932,0.36330448,-28.81443,-64.73398,-74.66267
-4.99690618,0.5026398,0.42385523,-30.95597,-64.87097,-74.32881
-4.99640218,0.5012665,0.48440598,-33.65814,-65.40912,-76.09289
-4.99589818,0.500412,0.54495672,-26.57851,-55.65025,-61.57335
-4.99539418,0.5009003,0.60550747,-40.9058,-68.10654,-41.31836
-4.99489018,0.5005341,0.66605822,-25.8335,-48.57921,-27.00192
-4.99438618,0.5007782,0.72660896,-25.98954,-44.40749,-17.52659
-4.99388218,0.4986725,0.78715971,-29.80328,-42.42696,-11.61978
-4.99337818,0.5005341,0.84771046,-19.28065,-22.9701,-8.411904
-4.99287418,0.5019074,0.9082612,-27.21036,-11.93555,-7.145038
-4.99237018,0.4998932,0.96881195,-8.099838,-7.474832,-6.923644
-4.99186618,0.5032502,1.0293627,-8.44668,-7.407387,-6.925016
-4.99136218,0.5010224,1.08991344,-26.82521,-11.71163,-7.127448
-4.99085818,0.500412,1.15046419,-21.79689,-22.44118,-8.342227
-4.99035418,0.5000153,1.21101494,-34.74499,-43.54414,-11.47959
-4.98985018,0.5009003,1.27156569,-30.34328,-43.78646,-17.29117
-4.98934618,0.5007782,1.33211643,-32.04131,-48.87701,-26.60405
-4.98884218,0.499649,1.39266718,-45.67826,-64.85868,-40.72343
-4.98833818,0.5007782,1.45321793,-34.89202,-56.00985,-62.00779
-4.98783418,0.5012665,1.51376867,-44.35408,-67.06033,-85.46951
-4.98733018,0.5007782,1.57431942,-41.64537,-65.29362,-85.25789
-4.98682618,0.5010224,1.63487017,-41.87573,-66.66515,-80.72562
-4.98632218,0.5019074,1.69542091,-59.54903,-90.25078,-91.17981
-4.98581818,0.500412,1.75597166,-45.65995,-70.22948,-88.37742
-4.98531418,0.4991607,1.81652241,-54.66443,-78.54627,-84.83298
-4.98481018,0.5021515,1.87707315,-55.72887,-79.43476,-85.20667
-4.98430618,0.4997711,1.9376239,-58.94086,-77.18441,-89.8555
-4.98380218,0.5010224,1.99817465,-93.16315,-89.83449,-92.30876
-4.98329818,0.500412,2.0587254,-61.03565,-83.93615,-89.8568
-4.98279418,0.5016328,2.11927614,-59.51336,-99.12083,-90.79158
-4.98229018,0.5019074,2.17982689,-55.24269,-102.8438,-92.42354
-4.98178618,0.5019074,2.24037764,-48.73008,-85.72128,-93.6985
-4.98128218,0.4997711,2.30092838,-76.95252,-96.01249,-98.23722
-4.98077818,0.500412,2.36147913,-45.12098,-77.15805,-87.36031
-4.98027418,0.4981536,2.42202988,-46.83375,-77.28958,-96.5731
-4.97977018,0.5019074,2.48258062,-47.18773,-74.80235,-98.52876
-4.97926618,0.5000153,2.54313137,-40.1707,-66.49231,-71.95472
-4.97876218,0.5030061,2.60368212,-57.04483,-80.41652,-51.30582
-4.97825818,0.5012665,2.66423286,-37.72499,-58.03029,-36.89397
-4.97775418,0.5022736,2.72478361,-38.02312,-54.91272,-27.31688
-4.97725018,0.5017853,2.78533436,-39.76043,-51.16362,-21.31018
-4.97674618,0.5023957,2.84588511,-29.96734,-33.08412,-18.0254
-4.97624218,0.5009003,2.90643585,-39.80646,-21.71308,-16.71158
-4.97573818,0.500412,2.9669866,-18.01876,-17.09226,-16.47268
-4.97523418,0.5007782,3.02753735,-17.654,-16.89314,-16.47149
-4.97473018,0.5025178,3.08808809,-34.23501,-21.04197,-16.65769
-4.97422618,0.5000153,3.14863884,-30.43736,-31.46787,-17.82606
-4.97372218,0.5013886,3.20918959,-44.67888,-54.43119,-20.88788
-4.97321818,0.5002899,3.26974033,-38.09034,-52.65839,-26.59986
-4.97271418,0.5005341,3.33029108,-40.2343,-58.5959,-35.78989
-4.97221018,0.5019074,3.39084183,-51.48883,-71.87788,-49.74183
-4.97170618,0.5006561,3.45139257,-42.23531,-65.42735,-70.70454
-4.97120218,0.5009003,3.51194332,-52.61525,-77.92674,-91.57487
-4.97069818,0.4991607,3.57249407,-48.12497,-74.66885,-88.37146
-4.97019418,0.4998932,3.63304482,-48.88314,-75.7772,-90.59971
