Time,Channel A,Frequency,Triangular,Rectangular,Channel A
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-5.00068178,-0.4231391,0,-67.74068,-67.56395,-68.24213
-5.00017778,-0.2709433,0.06055075,-69.16579,-72.45127,-66.96004
-4.99967378,0.4294565,0.12110149,-79.17153,-80.1893,-67.64476
-4.99916978,0.2598346,0.18165224,-91.39131,-84.15597,-69.9286
-4.99866578,-0.4353465,0.24220299,-92.40562,-85.39473,-74.79634
-4.99816178,-0.2492752,0.30275373,-103.4465,-88.88997,-83.72799
-4.99765778,0.4416639,0.36330448,-96.29699,-85.58037,-93.92777
-4.99715378,0.238319,0.42385523,-96.03384,-82.87759,-90.46375
-4.99664978,-0.4481643,0.48440598,-94.5396,-90.28909,-90.14084
-4.99614578,-0.2278817,0.54495672,-92.56252,-81.86545,-90.42075
-4.99564178,0.4534745,0.60550747,-90.08908,-103.418,-90.17566
-4.99513778,0.213538,0.66605822,-90.75397,-89.37458,-89.5739
-4.99463378,-0.4584796,0.72660896,-93.88294,-84.27078,-89.49139
-4.99412978,-0.2038637,0.78715971,-101.3425,-92.54778,-90.88078
-4.99362578,0.462447,0.84771046,-104.3189,-83.61778,-94.73839
-4.99312178,0.1926328,0.9082612,-101.0314,-96.95709,-100.8828
-4.99261778,-0.4673299,0.96881195,-102.9217,-86.58388,-96.15358
-4.99211378,-0.1802118,1.0293627,-101.9043,-86.30158,-92.10428
-4.99160978,0.4738914,1.08991344,-95.98106,-91.51149,-90.78558
-4.99110578,0.1682485,1.15046419,-93.37717,-86.96152,-90.63568
-4.99060178,-0.474929,1.21101494,-92.2618,-89.7905,-90.69507
-4.99009778,-0.1554613,1.27156569,-93.16936,-85.81923,-90.75903
-4.98959378,0.4821009,1.33211643,-96.46827,-85.35921,-90.97577
-4.98908978,0.1434675,1.39266718,-97.24395,-90.83719,-91.6871
-4.98858578,-0.4837489,1.45321793,-101.3682,-86.14185,-92.40921
-4.98808178,-0.1298257,1.51376867,-100.869,-94.82453,-91.55415
-4.98757778,0.4880825,1.57431942,-100.0646,-87.3936,-90.03162
-4.98707378,0.1209449,1.63487017,-96.55481,-89.70173,-88.823
-4.98656978,-0.4923551,1.69542091,-94.26506,-100.0328,-87.83059
-4.98606578,-0.1085238,1.75597166,-92.66257,-84.97559,-87.37586
-4.98556178,0.4924467,1.81652241,-91.2776,-99.88953,-87.77945
-4.98505778,0.09482101,1.87707315,-91.92883,-97.8984,-88.85101
-4.98455378,-0.4962004,1.9376239,-94.70328,-85.15237,-90.54187
-4.98404978,-0.08154546,1.99817465,-96.32931,-95.70972,-93.34508
-4.98354578,0.5015107,2.0587254,-100.7539,-86.25964,-96.62125
-4.98304178,0.06668294,2.11927614,-107.7768,-90.45815,-95.25157
-4.98253778,-0.5004425,2.17982689,-96.6049,-93.32863,-91.29323
-4.98203378,-0.05713065,2.24037764,-92.84384,-84.69176,-88.63346
-4.98152978,0.5013886,2.30092838,-90.02798,-92.67875,-87.45665
-4.98102578,0.04464858,2.36147913,-89.23256,-83.44849,-87.33907
-4.98052178,-0.5025483,2.42202988,-92.61266,-89.82207,-87.81548
-4.98001778,-0.03213599,2.48258062,-102.3395,-89.66683,-88.81337
-4.97951378,0.5059969,2.54313137,-102.6798,-85.76763,-90.91037
-4.97900978,0.0217597,2.60368212,-96.23214,-100.3354,-94.79041
-4.97850578,-0.5047761,2.66423286,-97.03397,-89.75809,-99.91063
-4.97800178,-0.0061037,2.72478361,-106.0617,-89.13492,-103.8615
-4.97749778,0.5041353,2.78533436,-110.4103,-95.51647,-105.5629
-4.97699378,-0.00338756,2.84588511,-102.8344,-85.79517,-100.1786
-4.97648978,-0.5059053,2.90643585,-97.78258,-104.9953,-96.6563
-4.97598578,0.01864681,2.9669866,-96.16192,-90.54851,-95.66346
-4.97548178,0.5050203,3.02753735,-97.2133,-86.16679,-96.22746
-4.97497778,-0.03012177,3.08808809,-97.48212,-91.87769,-98.26918
-4.97447378,-0.5009308,3.14863884,-105.5383,-85.04162,-103.5149
-4.97396978,0.04440443,3.20918959,-102.2928,-92.71777,-118.2246
-4.97346578,0.5013886,3.26974033,-100.552,-87.687,-100.5105
-4.97296178,-0.05453658,3.33029108,-103.0606,-86.93645,-95.15586
-4.97245778,-0.4991913,3.39084183,-102.2276,-95.72861,-92.85023
-4.97195378,0.07043672,3.45139257,-98.51436,-86.47093,-91.9508
-4.97144978,0.497055,3.51194332,-93.286,-88.77911,-91.73094
-4.97094578,-0.08090457,3.57249407,-92.37125,-84.74458,-92.13295
