Time,Channel A
(ms),(V)

-250.02849612,-0.00451674
-249.96599212,-0.01373333
-249.90348812,-0.02270577
-249.84098412,-0.03112888
-249.77848013,-0.03711051
-249.71597613,-0.04089480
-249.65347213,-0.05432295
-249.59096813,-0.06653035
-249.52846414,-0.07495346
-249.46596014,-0.08520768
-249.40345614,-0.08795434
-249.34095215,-0.09637745
-249.27844815,-0.10284740
-249.21594415,-0.12280650
-249.15344015,-0.12451550
-249.09093616,-0.12579730
-249.02843216,-0.13922540
-248.96592816,-0.14691610
-248.90342416,-0.15540020
-248.84092017,-0.16187020
-248.77841617,-0.16809590
-248.71591217,-0.18103580
-248.65340817,-0.18726160
-248.59090418,-0.20172730
-248.52840018,-0.20172730
-248.46589618,-0.21564380
-248.40339218,-0.22186960
-248.34088819,-0.22833950
-248.27838419,-0.23310040
-248.21588019,-0.24805440
-248.15337619,-0.25452440
-248.09087220,-0.26044500
-248.02836820,-0.26496170
-247.96586420,-0.28589740
-247.90336020,-0.27967160
-247.84085621,-0.29407640
-247.77835221,-0.29981380
-247.71584821,-0.30854210
-247.65334421,-0.31299780
-247.59084022,-0.32074950
-247.52833622,-0.32648700
-247.46583222,-0.33320110
-247.40332822,-0.33814510
-247.34082423,-0.35407580
-247.27832023,-0.36078980
-247.21581623,-0.36408580
-247.15331223,-0.37549970
-247.09080824,-0.38569290
-247.02830424,-0.38770710
-246.96580024,-0.39692370
-246.90329624,-0.40491960
-246.84079225,-0.40839870
-246.77828825,-0.40986360
-246.71578425,-0.41608940
-246.65328025,-0.42506180
-246.59077626,-0.43501080
-246.52827226,-0.44544820
-246.46576826,-0.44300670
-246.40326426,-0.44947660
-246.34076027,-0.46217230
-246.27825627,-0.46339300
-246.21575227,-0.46736050
-246.15324827,-0.47462390
-246.09074428,-0.48231450
-246.02824028,-0.48432870
-245.96573628,-0.49330120
-245.90323228,-0.50050350
-245.84072829,-0.51496930
-245.77822429,-0.50721760
-245.71572029,-0.50550860
-245.65321629,-0.52040160
-245.59071230,-0.52143930
-245.52820830,-0.53260900
-245.46570430,-0.53138830
-245.40320030,-0.53608810
-245.34069631,-0.54255810
-245.27819231,-0.54683070
-245.21568831,-0.54506060
-245.15318431,-0.55629140
-245.09068032,-0.56050290
-245.02817632,-0.56147950
-244.96567232,-0.56898710
-244.90316832,-0.57020780
-244.84066433,-0.57222210
-244.77816033,-0.57966860
-244.71565633,-0.58516190
-244.65315233,-0.58589430
-244.59064834,-0.58540610
-244.52814434,-0.58589430
-244.46564034,-0.58638260
-244.40313634,-0.60359510
-244.34063235,-0.59389020
-244.27812835,-0.60206910
-244.21562435,-0.59962770
-244.15312036,-0.60530410
-244.09061636,-0.61256750
-244.02811236,-0.61653490
-243.96560836,-0.61555830
-243.90310437,-0.61629080
-243.84060037,-0.61775570
-243.77809637,-0.62324900
-243.71559237,-0.62373730
-243.65308838,-0.62599560
-243.59058438,-0.61775570
-243.52808038,-0.62251660
-243.46557638,-0.61928160
-243.40307239,-0.62800990
-243.34056839,-0.63045140
-243.27806439,-0.62923060
-243.21556039,-0.62672810
