Frequency,Channel A
(kHz),(dBV)

0.00000000,-36.52864000
0.00195300,-43.67612000
0.00390600,-59.06639000
0.00585900,-37.21497000
0.00781200,-20.35925000
0.00976500,-14.99059000
0.01171800,-18.22742000
0.01367100,-31.62287000
0.01562400,-68.14925000
0.01757700,-53.87570000
0.01953000,-47.50691000
0.02148300,-49.63817000
0.02343600,-61.43186000
0.02538900,-49.06872000
0.02734200,-28.10334000
0.02929500,-20.44151000
0.03124800,-21.59245000
0.03320100,-32.11692000
0.03515400,-59.50349000
0.03710700,-65.65937000
0.03906000,-57.09197000
0.04101300,-56.90503000
0.04296600,-65.79007000
0.04491900,-49.44770000
0.04687200,-22.03616000
0.04882500,-11.90403000
0.05077800,-11.04473000
0.05273100,-19.05382000
0.05468400,-40.95219000
0.05663700,-57.33057000
0.05859000,-46.12865000
0.06054300,-44.28879000
0.06249600,-51.38316000
0.06444900,-74.69611000
0.06640200,-59.65542000
0.06835500,-46.06854000
0.07030800,-43.22303000
0.07226100,-48.90863000
0.07421400,-67.64963000
0.07616700,-62.83422000
0.07812000,-48.29219000
0.08007300,-44.29145000
0.08202600,-48.88371000
0.08397900,-64.18201000
0.08593200,-36.41088000
0.08788500,-20.19925000
0.08983800,-15.16142000
0.09179100,-18.72074000
0.09374400,-32.57500000
0.09569700,-74.88883000
0.09765000,-63.94621000
0.09960300,-57.87595000
0.10155600,-60.05494000
0.10350900,-71.01132000
0.10546200,-43.46294000
0.10741500,-22.97630000
0.10936800,-15.69765000
0.11132100,-17.18984000
0.11327400,-28.14051000
0.11522700,-57.91650000
0.11718000,-56.51309000
0.11913300,-47.66338000
0.12108600,-47.99801000
0.12303900,-57.43127000
0.12499200,-61.82236000
0.12694500,-35.55765000
0.12889800,-25.88083000
0.13085100,-25.33178000
0.13280400,-33.73589000
0.13475700,-56.25035000
0.13671000,-56.36930000
0.13866300,-45.17781000
0.14061600,-43.54734000
0.14256901,-50.67205000
0.14452201,-69.05797000
0.14647501,-39.21883000
0.14842801,-26.73326000
0.15038101,-24.14467000
0.15233401,-30.18610000
0.15428701,-48.02558000
0.15624001,-65.74380000
0.15819301,-51.38756000
0.16014601,-47.73277000
0.16209901,-52.41589000
0.16405201,-65.90946000
0.16600501,-39.22775000
0.16795801,-23.55385000
0.16991101,-18.85176000
0.17186401,-22.74101000
0.17381701,-37.15129000
0.17577001,-77.76357000
0.17772301,-60.50657000
0.17967601,-54.38949000
0.18162901,-57.26799000
0.18358201,-71.17117000
0.18553501,-49.48729000
0.18748801,-29.60291000
0.18944101,-22.67584000
0.19139401,-24.48078000
0.19334701,-35.86559000
0.19530001,-66.55418000
0.19725301,-52.58186000
0.19920601,-44.40294000
0.20115901,-45.08898000
0.20311201,-55.06141000
0.20506501,-87.23515000
0.20701801,-53.97927000
0.20897101,-44.20389000
0.21092401,-43.96534000
0.21287701,-52.56592000
0.21483001,-79.20271000
0.21678301,-57.21980000
0.21873601,-46.20666000
0.22068901,-44.90559000
0.22264201,-52.43198000
0.22459501,-67.27132000
0.22654801,-37.46334000
0.22850101,-25.46609000
0.23045401,-23.19434000
0.23240701,-29.58830000
0.23436001,-48.15208000
0.23631301,-73.04721000
0.23826601,-62.80128000
0.24021901,-59.86048000
0.24217201,-65.27826000
0.24412501,-78.12184000
0.24607801,-41.93826000
0.24803101,-26.87304000
0.24998401,-22.50927000
0.25193701,-26.73697000
0.25389001,-41.74340000
0.25584301,-69.40657000
0.25779601,-51.66507000
0.25974901,-46.13007000
0.26170201,-49.27792000
0.26365501,-62.63954000
0.26560801,-58.08976000
0.26756101,-38.79670000
0.26951401,-32.24941000
0.27146701,-34.38504000
0.27342001,-46.24033000
0.27537301,-72.62917000
0.27732601,-51.34309000
0.27927901,-43.64196000
0.28123201,-44.77286000
0.28318501,-54.98278000
0.28513801,-62.82320000
0.28709101,-38.93699000
0.28904401,-29.97874000
0.29099701,-30.06801000
0.29295001,-39.22689000
0.29490301,-64.79366000
0.29685601,-60.95616000
0.29880901,-50.11953000
0.30076201,-49.17277000
0.30271501,-57.47415000
0.30466801,-69.12270000
0.30662101,-37.79681000
0.30857401,-26.24603000
0.31052701,-24.29758000
0.31248001,-31.07447000
0.31443301,-50.59852000
0.31638601,-67.77676000
0.31833901,-55.58540000
0.32029201,-52.61108000
0.32224501,-57.96982000
0.32419801,-73.32683000
0.32615101,-46.07021000
0.32810401,-31.56523000
0.33005701,-27.54294000
0.33201001,-32.10271000
0.33396301,-47.55654000
0.33591601,-65.30824000
0.33786901,-48.71197000
0.33982201,-43.56812000
0.34177501,-47.11234000
0.34372801,-61.06628000
0.34568101,-66.29887000
0.34763401,-49.38758000
0.34958701,-43.28915000
0.35154001,-45.83175000
0.35349301,-58.20635000
0.35544601,-72.23917000
0.35739901,-52.38310000
0.35935201,-45.06380000
0.36130501,-46.49846000
0.36325801,-57.48231000
0.36521101,-60.76015000
0.36716401,-36.27423000
0.36911701,-27.65670000
0.37107001,-28.04230000
0.37302301,-37.53887000
0.37497601,-62.97670000
0.37692901,-75.07703000
0.37888201,-65.49553000
0.38083501,-64.50471000
0.38278801,-74.92068000
0.38474101,-72.97536000
0.38669401,-39.71280000
0.38864701,-28.54692000
0.39060001,-26.90839000
0.39255301,-34.04721000
0.39450601,-54.41552000
0.39645901,-60.91529000
0.39841201,-48.54675000
0.40036501,-45.92404000
0.40231801,-51.86116000
0.40427101,-69.39975000
0.40622401,-54.59972000
0.40817701,-40.64781000
0.41013001,-36.93047000
0.41208301,-41.84098000
0.41403601,-58.09023000
0.41598901,-63.25187000
0.41794201,-47.84879000
0.41989501,-43.11503000
0.42184801,-46.93556000
0.42380101,-61.00286000
0.42575401,-55.44860000
0.42770702,-37.71418000
0.42966002,-31.86068000
0.43161302,-34.66635000
0.43356602,-47.50204000
0.43551902,-79.91354000
0.43747202,-56.52176000
0.43942502,-49.40484000
0.44137802,-51.14402000
0.44333102,-62.86095000
0.44528402,-58.41959000
0.44723702,-36.06851000
0.44919002,-27.89430000
0.45114302,-28.61267000
0.45309602,-38.55661000
0.45504902,-65.45014000
0.45700202,-61.71650000
0.45895502,-52.50092000
0.46090802,-52.27162000
0.46286102,-60.88023000
0.46481402,-71.89650000
0.46676702,-43.62346000
0.46872002,-32.87791000
0.47067302,-31.54397000
0.47262602,-39.03263000
0.47457902,-60.04079000
0.47653202,-58.09803000
0.47848502,-45.79547000
0.48043802,-43.45256000
0.48239102,-49.63770000
0.48434402,-66.04491000
0.48629702,-60.18141000
0.48825002,-46.52031000
0.49020302,-43.18356000
0.49215602,-48.44168000
0.49410902,-64.36518000
0.49606202,-65.62468000
0.49801502,-49.47476000
0.49996802,-44.87487000
0.50192102,-48.96305000
0.50387402,-64.19595000
0.50582702,-51.92242000
0.50778002,-34.91936000
0.50973302,-29.39244000
0.51168602,-32.48691000
0.51363902,-45.62993000
0.51559202,-78.03230000
0.51754502,-75.25817000
0.51949802,-72.73943000
0.52145102,-77.68028000
0.52340402,-79.04402000
0.52535702,-58.94923000
0.52731002,-37.74567000
0.52926302,-29.94308000
0.53121602,-30.95615000
0.53316902,-41.20812000
0.53512202,-66.79313000
0.53707502,-55.53676000
0.53902802,-46.34003000
0.54098102,-46.37265000
0.54293402,-55.57034000
0.54488702,-76.64030000
0.54684002,-52.66624000
0.54879302,-42.50153000
0.55074602,-41.43961000
0.55269902,-49.03098000
0.55465202,-66.97153000
0.55660502,-57.36496000
0.55855802,-45.35661000
0.56051102,-43.28606000
0.56246402,-50.06525000
0.56441702,-71.06454000
0.56637002,-49.63448000
0.56832302,-36.63714000
0.57027602,-33.60114000
0.57222902,-39.18923000
0.57418202,-56.69928000
0.57613502,-69.46986000
0.57808802,-54.21384000
0.58004102,-50.02623000
0.58199402,-54.45671000
0.58394702,-70.17995000
0.58590002,-51.16063000
0.58785302,-34.70405000
0.58980602,-29.52579000
0.59175902,-32.95633000
0.59371202,-46.71994000
0.59566502,-75.44911000
0.59761802,-56.62583000
0.59957102,-50.41976000
0.60152402,-52.76847000
0.60347702,-64.33298000
0.60543002,-62.12517000
0.60738302,-41.73411000
0.60933602,-34.30793000
0.61128902,-35.64867000
0.61324202,-46.49327000
0.61519502,-74.05320000
0.61714802,-52.65816000
0.61910102,-43.97213000
0.62105402,-44.21134000
0.62300702,-53.38478000
0.62496002,-74.15631000
0.62691302,-54.59458000
0.62886602,-44.60886000
0.63081902,-43.87043000
0.63277202,-51.84494000
0.63472502,-70.91302000
0.63667802,-58.68915000
0.63863102,-47.21555000
0.64058402,-45.41216000
0.64253702,-52.36404000
0.64449002,-71.01204000
0.64644302,-46.69238000
0.64839602,-34.03033000
0.65034902,-31.28968000
0.65230202,-37.17909000
0.65425502,-54.96538000
0.65620802,-85.40672000
0.65816102,-83.23042000
0.66011402,-93.89485000
0.66206702,-92.61455000
0.66402002,-87.14332000
0.66597302,-52.24716000
0.66792602,-36.42197000
0.66987902,-31.57586000
0.67183202,-35.31741000
0.67378502,-49.48290000
0.67573802,-70.48123000
0.67769102,-50.90548000
0.67964402,-44.92155000
0.68159702,-47.77421000
0.68355002,-61.30257000
0.68550302,-70.97954000
0.68745602,-51.87860000
0.68940902,-44.96300000
0.69136202,-46.62745000
0.69331502,-57.51044000
0.69526802,-74.37807000
0.69722102,-52.25701000
0.69917402,-43.95973000
0.70112702,-44.64441000
0.70308002,-54.75472000
0.70503302,-70.12967000
0.70698602,-45.64738000
0.70893902,-36.12669000
0.71089202,-35.75813000
0.71284503,-44.36105000
0.71479803,-68.65775000
0.71675103,-63.05769000
0.71870403,-52.50494000
0.72065703,-51.13006000
0.72261003,-58.38529000
0.72456303,-75.40841000
0.72651603,-46.05753000
0.72846903,-33.89007000
0.73042203,-31.48359000
0.73237503,-37.71848000
0.73432803,-55.78929000
0.73628103,-65.39866000
0.73823403,-52.64204000
0.74018703,-49.30024000
0.74214003,-54.32462000
0.74409303,-69.48828000
0.74604603,-56.20864000
0.74799903,-40.66541000
0.74995203,-36.11236000
0.75190503,-40.17517000
0.75385803,-54.64113000
0.75581103,-67.00531000
0.75776403,-48.70541000
0.75971703,-43.01113000
0.76167003,-45.98394000
0.76362303,-58.73394000
0.76557603,-67.84723000
0.76752903,-50.00739000
0.76948203,-43.34093000
0.77143503,-45.39633000
0.77338803,-57.28237000
0.77534103,-75.03272000
0.77729403,-53.76366000
0.77924703,-45.99268000
0.78120003,-47.06438000
0.78315303,-57.54757000
0.78510603,-67.40263000
0.78705903,-42.85315000
0.78901203,-33.72673000
0.79096503,-33.67548000
0.79291803,-42.70090000
0.79487103,-68.49023000
0.79682403,-76.35707000
0.79877703,-65.53937000
0.80073003,-64.48100000
0.80268303,-70.35547000
0.80463603,-77.84306000
0.80658903,-47.47324000
0.80854203,-35.73846000
0.81049503,-33.64217000
0.81244803,-40.23901000
0.81440103,-59.03868000
0.81635403,-60.98900000
0.81830703,-47.56811000
0.82026003,-44.42727000
0.82221303,-49.76130000
0.82416603,-65.53536000
0.82611903,-66.06348000
0.82807203,-52.74852000
0.83002503,-48.65806000
0.83197803,-52.97519000
0.83393103,-66.80821000
0.83588403,-66.12718000
0.83783703,-48.50981000
0.83979003,-43.18180000
0.84174303,-46.53804000
0.84369603,-60.17820000
0.84564903,-59.91607000
0.84760203,-42.39590000
0.84955503,-36.11804000
0.85150803,-38.46272000
0.85346103,-50.60777000
0.85541403,-76.45884000
0.85736703,-59.31575000
0.85932003,-52.12365000
0.86127303,-53.55953000
0.86322603,-64.39371000
0.86517903,-67.42041000
0.86713203,-42.47642000
0.86908503,-33.70507000
0.87103803,-33.96201000
0.87299103,-43.36531000
0.87494403,-69.86283000
0.87689703,-58.81771000
0.87885003,-49.72021000
0.88080303,-49.14751000
0.88275603,-57.10593000
0.88470903,-76.23447000
0.88666203,-51.73595000
0.88861503,-40.35195000
0.89056803,-38.54147000
0.89252103,-45.41794000
0.89447403,-64.25433000
0.89642703,-57.99679000
0.89838003,-45.65036000
0.90033303,-42.86448000
0.90228603,-48.70266000
0.90423903,-67.18692000
0.90619203,-60.93362000
0.90814503,-46.85213000
0.91009803,-43.06242000
0.91205103,-47.86987000
0.91400403,-63.76404000
0.91595703,-65.50562000
0.91791003,-50.43037000
