Frequency,Channel A
(kHz),(dBV)

0.00000000,-36.59285000
0.00195300,-39.58213000
0.00390600,-29.87507000
0.00585900,-19.22931000
0.00781200,-15.37365000
0.00976500,-14.92770000
0.01171800,-15.09989000
0.01367100,-17.77456000
0.01562400,-26.50780000
0.01757700,-42.94402000
0.01953000,-47.18115000
0.02148300,-47.22382000
0.02343600,-38.51645000
0.02538900,-26.00161000
0.02734200,-20.79854000
0.02929500,-19.88507000
0.03124800,-19.93555000
0.03320100,-21.64057000
0.03515400,-28.64375000
0.03710700,-43.97506000
0.03906000,-56.04003000
0.04101300,-55.74443000
0.04296600,-34.12247000
0.04491900,-18.77337000
0.04687200,-12.01710000
0.04882500,-10.41785000
0.05077800,-10.38509000
0.05273100,-11.38268000
0.05468400,-16.80998000
0.05663700,-29.94135000
0.05859000,-43.76494000
0.06054300,-44.06512000
0.06249600,-44.84650000
0.06444900,-48.48131000
0.06640200,-45.58175000
0.06835500,-43.32427000
0.07030800,-43.09708000
0.07226100,-43.67897000
0.07421400,-47.15272000
0.07616700,-47.26271000
0.07812000,-44.52275000
0.08007300,-44.28646000
0.08202600,-43.51904000
0.08397900,-29.44963000
0.08593200,-19.16130000
0.08788500,-15.51529000
0.08983800,-15.13081000
0.09179100,-15.33030000
0.09374400,-18.17566000
0.09569700,-27.19980000
0.09765000,-45.83888000
0.09960300,-57.69846000
0.10155600,-55.03113000
0.10350900,-33.60430000
0.10546200,-21.06366000
0.10741500,-16.08310000
0.10936800,-15.26187000
0.11132100,-15.31729000
0.11327400,-17.17682000
0.11522700,-24.43328000
0.11718000,-39.89145000
0.11913300,-46.88398000
0.12108600,-46.82564000
0.12303900,-44.86037000
0.12499200,-32.48161000
0.12694500,-26.04213000
0.12889800,-24.55642000
0.13085100,-24.55050000
0.13280400,-25.63540000
0.13475700,-31.27619000
0.13671000,-41.95236000
0.13866300,-43.20443000
0.14061600,-43.15583000
0.14256901,-43.26690000
0.14452201,-34.46657000
0.14647501,-26.46104000
0.14842801,-24.10520000
0.15038101,-23.97528000
0.15233401,-24.53231000
0.15428701,-28.76129000
0.15624001,-39.72829000
0.15819301,-47.80668000
0.16014601,-47.55850000
0.16209901,-46.61644000
0.16405201,-32.61880000
0.16600501,-22.63595000
0.16795801,-19.17885000
0.16991101,-18.84480000
0.17186401,-19.08277000
0.17381701,-22.10937000
0.17577001,-31.46768000
0.17772301,-49.77654000
0.17967601,-54.46965000
0.18162901,-54.16768000
0.18358201,-39.99803000
0.18553501,-27.84398000
0.18748801,-23.07958000
0.18944101,-22.33493000
0.19139401,-22.40692000
0.19334701,-24.40029000
0.19530001,-31.87558000
0.19725301,-43.25237000
0.19920601,-43.67305000
0.20115901,-43.73344000
0.20311201,-45.26951000
0.20506501,-48.38715000
0.20701801,-44.49439000
0.20897101,-43.15548000
0.21092401,-43.04750000
0.21287701,-44.27794000
0.21483001,-48.50895000
0.21678301,-46.26134000
0.21873601,-44.53007000
0.22068901,-44.41620000
0.22264201,-43.93661000
0.22459501,-33.06272000
0.22654801,-25.26376000
0.22850101,-23.06188000
0.23045401,-22.96170000
0.23240701,-23.59006000
0.23436001,-28.02728000
0.23631301,-39.62112000
0.23826601,-57.69027000
0.24021901,-59.63957000
0.24217201,-54.33395000
0.24412501,-35.78006000
0.24607801,-26.06026000
0.24803101,-22.79375000
0.24998401,-22.51267000
0.25193701,-22.79541000
0.25389001,-26.00582000
0.25584301,-35.57663000
0.25779601,-46.19370000
0.25974901,-46.11048000
0.26170201,-46.24794000
0.26365501,-46.09446000
0.26560801,-37.19774000
0.26756101,-32.66973000
0.26951401,-31.99323000
0.27146701,-32.08280000
0.27342001,-34.20617000
0.27537301,-41.27864000
0.27732601,-43.93576000
0.27927901,-43.08724000
0.28123201,-43.05439000
0.28318501,-43.62169000
0.28513801,-36.10899000
0.28709101,-30.23307000
0.28904401,-28.99470000
0.29099701,-28.99686000
0.29295001,-30.31601000
0.29490301,-36.42895000
0.29685601,-47.75416000
0.29880901,-48.77579000
0.30076201,-48.71134000
0.30271501,-46.87408000
0.30466801,-33.70929000
0.30662101,-26.12778000
0.30857401,-24.07078000
0.31052701,-23.99765000
0.31248001,-24.70375000
0.31443301,-29.37288000
0.31638601,-41.26076000
0.31833901,-52.31526000
0.32029201,-52.35129000
0.32224501,-52.11115000
0.32419801,-40.20477000
0.32615101,-30.86508000
0.32810401,-27.77869000
0.33005701,-27.53455000
0.33201001,-27.85763000
0.33396301,-31.24625000
0.33591601,-40.38095000
0.33786901,-43.89982000
0.33982201,-43.58399000
0.34177501,-43.75966000
0.34372801,-46.31554000
0.34568101,-47.15005000
0.34763401,-43.60798000
0.34958701,-43.09992000
0.35154001,-43.23264000
0.35349301,-45.51311000
0.35544601,-48.79081000
0.35739901,-45.41629000
0.35935201,-44.60056000
0.36130501,-44.68733000
0.36325801,-44.08528000
0.36521101,-33.73943000
0.36716401,-27.97678000
0.36911701,-26.81638000
0.37107001,-26.81217000
0.37302301,-28.22589000
0.37497601,-34.57289000
0.37692901,-49.05513000
0.37888201,-63.82427000
0.38083501,-64.77836000
0.38278801,-52.50852000
0.38474101,-35.93990000
0.38669401,-28.52249000
0.38864701,-26.58936000
0.39060001,-26.52857000
0.39255301,-27.31137000
0.39450601,-32.19421000
0.39645901,-43.14846000
0.39841201,-45.86110000
0.40036501,-45.73037000
0.40231801,-46.27625000
0.40427101,-46.73305000
0.40622401,-39.98063000
0.40817701,-37.10968000
0.41013001,-36.92844000
0.41208301,-37.29817000
0.41403601,-40.75506000
0.41598901,-45.46980000
0.41794201,-43.39806000
0.41989501,-43.07302000
0.42184801,-43.28506000
0.42380101,-43.77472000
0.42575401,-36.32247000
0.42770702,-32.26656000
0.42966002,-31.75283000
0.43161302,-31.88847000
0.43356602,-34.35514000
0.43551902,-42.49800000
0.43747202,-49.63194000
0.43942502,-49.13095000
0.44137802,-49.18515000
0.44333102,-45.62305000
0.44528402,-33.72755000
0.44723702,-28.22003000
0.44919002,-27.17915000
0.45114302,-27.20484000
0.45309602,-28.74912000
0.45504902,-35.36791000
0.45700202,-48.56712000
0.45895502,-51.32091000
0.46090802,-51.28252000
0.46286102,-50.75126000
0.46481402,-39.91505000
0.46676702,-32.89070000
0.46872002,-31.10782000
0.47067302,-31.06713000
0.47262602,-31.93189000
0.47457902,-36.98083000
0.47653202,-44.32434000
0.47848502,-43.37164000
0.48043802,-43.17127000
0.48239102,-43.71202000
0.48434402,-47.22736000
0.48629702,-45.89326000
0.48825002,-43.33971000
0.49020302,-43.11954000
0.49215602,-43.48523000
0.49410902,-46.86926000
0.49606202,-48.14456000
0.49801502,-45.27751000
0.49996802,-44.95353000
0.50192102,-45.18066000
0.50387402,-42.95357000
0.50582702,-33.66326000
0.50778002,-29.77031000
0.50973302,-29.31308000
0.51168602,-29.46341000
0.51363902,-32.05542000
0.51559202,-40.62633000
0.51754502,-58.53733000
0.51949802,-74.05227000
0.52145102,-70.53199000
0.52340402,-48.44647000
0.52535702,-35.56070000
0.52731002,-30.27973000
0.52926302,-29.32757000
0.53121602,-29.35764000
0.53316902,-31.00852000
0.53512202,-37.70988000
0.53707502,-45.78476000
0.53902802,-45.39547000
0.54098102,-45.37045000
0.54293402,-46.59405000
0.54488702,-47.82449000
0.54684002,-42.53790000
0.54879302,-40.83052000
0.55074602,-40.76313000
0.55269902,-41.63863000
0.55465202,-45.84475000
0.55660502,-45.06297000
0.55855802,-43.16524000
0.56051102,-43.09827000
0.56246402,-43.71592000
0.56441702,-43.15785000
0.56637002,-36.20304000
0.56832302,-33.65314000
0.57027602,-33.51726000
0.57222902,-34.01522000
0.57418202,-37.99929000
0.57613502,-47.83333000
0.57808802,-50.38002000
0.58004102,-50.06782000
0.58199402,-50.17618000
0.58394702,-43.53952000
0.58590002,-33.59569000
0.58785302,-29.88944000
0.58980602,-29.49067000
0.59175902,-29.68534000
0.59371202,-32.46814000
0.59566502,-41.25996000
0.59761802,-50.44671000
0.59957102,-50.15471000
0.60152402,-50.18618000
0.60347702,-49.37107000
0.60543002,-39.68980000
0.60738302,-34.66662000
0.60933602,-33.81687000
0.61128902,-33.89167000
0.61324202,-35.69213000
0.61519502,-42.13887000
0.61714802,-44.09349000
0.61910102,-43.01958000
0.62105402,-43.00499000
0.62300702,-44.31952000
0.62496002,-47.88663000
0.62691302,-44.67325000
0.62886602,-43.17522000
0.63081902,-43.09150000
0.63277202,-44.05443000
0.63472502,-48.19215000
0.63667802,-46.98307000
0.63863102,-45.16382000
0.64058402,-45.07821000
0.64253702,-45.59874000
0.64449002,-41.41465000
0.64644302,-33.70403000
0.64839602,-31.28354000
0.65034902,-31.15387000
0.65230202,-31.69372000
0.65425502,-35.86026000
0.65620802,-47.12209000
0.65816102,-70.84474000
0.66011402,-84.73439000
0.66206702,-65.89546000
0.66402002,-45.63545000
0.66597302,-35.45044000
0.66792602,-31.90831000
0.66987902,-31.55586000
0.67183202,-31.77661000
0.67378502,-34.69324000
0.67573802,-42.83699000
0.67769102,-45.37087000
0.67964402,-44.93935000
0.68159702,-45.07013000
0.68355002,-47.44221000
0.68550302,-49.22616000
0.68745602,-45.31434000
0.68940902,-44.50246000
0.69136202,-44.56100000
0.69331502,-46.39803000
0.69526802,-48.43037000
0.69722102,-44.30138000
0.69917402,-43.27197000
0.70112702,-43.31844000
0.70308002,-44.58519000
0.70503302,-42.06261000
0.70698602,-36.29010000
0.70893902,-34.90920000
0.71089202,-34.90368000
0.71284503,-36.07594000
0.71479803,-41.83168000
0.71675103,-50.83369000
0.71870403,-50.63091000
0.72065703,-50.58088000
0.72261003,-50.67017000
0.72456303,-41.52285000
0.72651603,-33.66224000
0.72846903,-31.38681000
0.73042203,-31.27268000
0.73237503,-31.86622000
0.73432803,-36.19693000
0.73628103,-46.30858000
0.73823403,-49.26204000
0.74018703,-49.09953000
0.74214003,-49.52599000
0.74409303,-48.27175000
0.74604603,-39.80194000
0.74799903,-36.43785000
0.74995203,-36.12058000
0.75190503,-36.34110000
0.75385803,-39.36141000
0.75581103,-45.12489000
0.75776403,-43.46845000
0.75971703,-42.94126000
0.76167003,-43.01415000
0.76362303,-45.28909000
0.76557603,-47.08388000
0.76752903,-43.66563000
0.76948203,-43.06734000
0.77143503,-43.19814000
0.77338803,-45.32312000
0.77534103,-49.32825000
0.77729403,-46.33727000
0.77924703,-45.42416000
0.78120003,-45.45442000
0.78315303,-46.29486000
0.78510603,-39.88852000
0.78705903,-33.96474000
0.78901203,-32.67719000
0.79096503,-32.68488000
0.79291803,-33.96031000
0.79487103,-40.04808000
0.79682403,-54.56117000
0.79877703,-64.14864000
0.80073003,-63.32209000
0.80268303,-58.32596000
0.80463603,-43.25421000
0.80658903,-35.57437000
0.80854203,-33.45552000
0.81049503,-33.36959000
0.81244803,-34.02996000
0.81440103,-38.51798000
0.81635403,-45.58934000
0.81830703,-44.53754000
0.82026003,-44.28920000
0.82221303,-44.71947000
0.82416603,-48.31460000
0.82611903,-51.00223000
0.82807203,-48.70969000
0.83002503,-48.50521000
0.83197803,-48.78426000
0.83393103,-51.14375000
0.83588403,-47.39914000
0.83783703,-43.65633000
0.83979003,-43.18906000
0.84174303,-43.32289000
0.84369603,-45.04866000
0.84564903,-40.64760000
0.84760203,-36.46014000
0.84955503,-35.87956000
0.85150803,-36.01128000
0.85346103,-38.26232000
0.85541403,-45.92439000
0.85736703,-52.05997000
0.85932003,-51.58886000
0.86127303,-51.66141000
0.86322603,-50.60340000
0.86517903,-39.85511000
0.86713203,-34.00953000
0.86908503,-32.81165000
0.87103803,-32.81954000
0.87299103,-34.20145000
0.87494403,-40.42370000
0.87689703,-48.79932000
0.87885003,-48.19986000
0.88080303,-48.20385000
0.88275603,-49.21610000
0.88470903,-47.03808000
0.88666203,-40.28860000
0.88861503,-38.27331000
0.89056803,-38.17920000
0.89252103,-38.89901000
0.89447403,-43.23019000
0.89642703,-44.88076000
0.89838003,-42.80701000
0.90033303,-42.73231000
0.90228603,-43.31015000
0.90423903,-46.81188000
0.90619203,-45.97975000
0.90814503,-43.25807000
0.91009803,-43.04816000
0.91205103,-43.40533000
0.91400403,-46.70527000
0.91595703,-48.75673000
0.91791003,-45.92529000
