Frequency (Hz),U0 (mV),UR (mV),Resistance (Ohm)
10,790.4,3.499,100
14,790.4,3.94,
20,790.4,4.822,
26,790.4,5.363,
36,790.4,6.145,
49,790.4,7.027,
67,781.6,9.673,
92,781.6,11.44,
127,781.6,14.08,
174,772.9,20.25,
240,764.1,25.55,
329,746.5,32.6,
452,728.9,42.74,
621,685,56.2,
853,623.5,67.66,
1172,544.4,80,
1610,447.7,91.46,
2212,351.1,100.1,
3039,272,107.1,
4175,201.7,110.6,
5736,148.9,110.6,
7880,122.6,112.3,
8500,113.8,112.3,
8650,113.8,112.3,
9000,113.8,112.3,
9300,113.8,112.3,
9400,113.8,112.3,
9500,113.8,112.3,
10000,113.8,112.3,
10826,122.6,110.6,
14874,148.9,110.6,
20434,201.7,108.8,
28072,272,103.6,
38566,351.1,98.34,
52983,430.1,89.6,
72790,491.7,77.36,
85000,518,72.12,
100000,535.6,63.38,
