Time,Channel B
(ms),(V)

-250.26559830,4.93560600
-250.18367830,4.93560600
-250.10175830,4.93560600
-250.01983830,4.93560600
-249.93791830,4.93560600
-249.85599830,4.93560600
-249.77407830,4.93560600
-249.69215830,4.93560600
-249.61023830,4.93560600
-249.52831830,4.93560600
-249.44639830,4.93560600
-249.36447830,4.93560600
-249.28255830,4.93560600
-249.20063830,4.93560600
-249.11871830,4.93560600
-249.03679830,4.93560600
-248.95487831,4.93560600
-248.87295831,4.93560600
-248.79103831,4.93560600
-248.70911831,4.93560600
-248.62719831,4.93560600
-248.54527831,4.93560600
-248.46335831,4.93560600
-248.38143831,4.93560600
-248.29951831,4.93560600
-248.21759831,4.93560600
-248.13567831,4.93560600
-248.05375831,4.93560600
-247.97183831,4.93560600
-247.88991831,4.93560600
-247.80799831,4.93560600
-247.72607831,4.93560600
-247.64415831,4.93560600
-247.56223831,4.93560600
-247.48031831,4.97970500
-247.39839831,4.93560600
-247.31647832,4.93560600
-247.23455832,4.93560600
-247.15263832,4.93560600
-247.07071832,4.93560600
-246.98879832,4.93560600
-246.90687832,4.93560600
-246.82495832,4.93560600
-246.74303832,4.93560600
-246.66111832,4.93560600
-246.57919832,4.93560600
-246.49727832,4.93560600
-246.41535832,4.93560600
-246.33343832,4.93560600
-246.25151832,4.93560600
-246.16959832,4.93560600
-246.08767832,4.93560600
-246.00575832,4.93560600
-245.92383832,4.93560600
-245.84191832,4.93560600
-245.75999832,4.93560600
-245.67807833,4.93560600
-245.59615833,4.93560600
-245.51423833,4.93560600
-245.43231833,4.93560600
-245.35039833,4.93560600
-245.26847833,4.93560600
-245.18655833,4.93560600
-245.10463833,4.93560600
-245.02271833,4.93560600
-244.94079833,4.93560600
-244.85887833,4.93560600
-244.77695833,4.93560600
-244.69503833,4.93560600
-244.61311833,4.97970500
-244.53119833,4.93560600
-244.44927833,4.93560600
-244.36735833,4.93560600
-244.28543833,4.93560600
-244.20351833,4.93560600
-244.12159833,4.93560600
-244.03967833,4.93560600
-243.95775834,4.93560600
-243.87583834,4.93560600
-243.79391834,4.93560600
-243.71199834,4.93560600
-243.63007834,4.93560600
-243.54815834,4.93560600
-243.46623834,4.93560600
-243.38431834,4.93560600
-243.30239834,4.93560600
-243.22047834,4.93560600
-243.13855834,4.93560600
-243.05663834,4.93560600
-242.97471834,4.93560600
-242.89279834,4.93560600
-242.81087834,4.93560600
-242.72895834,4.93560600
-242.64703834,4.93560600
-242.56511834,4.93560600
-242.48319834,4.93560600
-242.40127834,4.93560600
-242.31935835,4.93560600
-242.23743835,4.93560600
-242.15551835,4.93560600
-242.07359835,4.93560600
-241.99167835,4.93560600
-241.90975835,4.93560600
-241.82783835,4.93560600
-241.74591835,4.93560600
-241.66399835,4.93560600
-241.58207835,4.93560600
-241.50015835,4.93560600
-241.41823835,4.93560600
-241.33631835,4.93560600
-241.25439835,4.93560600
-241.17247835,4.93560600
-241.09055835,4.93560600
-241.00863835,4.93560600
-240.92671835,4.93560600
-240.84479835,4.93560600
-240.76287835,4.93560600
-240.68095836,4.93560600
