Frequency,Channel B
(kHz),(dBu)

0.00000000,-27.72080000
0.09536743,-33.92011000
0.19073486,-41.83159000
0.28610229,-44.42500000
0.38146973,-44.72751000
0.47683716,-45.50787000
0.57220459,-49.83974000
0.66757202,-49.21650000
0.76293945,-48.09335000
0.85830688,-46.98597000
0.95367432,-46.48650000
1.04904175,-52.40248000
1.14440918,-54.83963000
1.23977661,-48.03944000
1.33514404,-47.26089000
1.43051147,-49.09376000
1.52587891,-46.53094000
1.62124634,-51.87771000
1.71661377,-62.93748000
1.81198120,-58.91430000
1.90734863,-56.42505000
2.00271606,-59.89496000
2.09808350,-54.42583000
2.19345093,-56.45282000
2.28881836,-52.64297000
2.38418579,-48.50087000
2.47955322,-55.60542000
2.57492065,-53.99578000
2.67028809,-51.72272000
2.76565552,-54.75736000
2.86102295,-47.97759000
2.95639038,-48.57677000
3.05175781,-51.98668000
3.14712524,-45.20778000
3.24249268,-59.67858000
3.33786011,-44.30913000
3.43322754,-53.61742000
3.52859497,-41.89875000
3.62396240,-43.19542000
3.71932983,-46.03384000
3.81469727,-43.20465000
3.91006470,-41.44699000
4.00543213,-45.46772000
4.10079956,-37.65878000
4.19616699,-39.73213000
4.29153442,-35.48117000
4.38690186,-32.45428000
4.48226929,-25.18102000
4.57763672,-11.20855000
4.67300415,-4.13415100
4.76837158,-3.67176000
4.86373901,-9.74246800
4.95910645,-22.86012000
5.05447388,-31.28059000
5.14984131,-35.76661000
5.24520874,-38.14650000
5.34057617,-36.63346000
5.43594360,-40.48413000
5.53131104,-42.59606000
5.62667847,-40.23629000
5.72204590,-42.22641000
5.81741333,-45.05890000
5.91278076,-40.38492000
6.00814819,-45.79097000
6.10351563,-45.79123000
6.19888306,-44.01638000
6.29425049,-48.17920000
6.38961792,-44.97020000
6.48498535,-47.28790000
6.58035278,-46.66994000
6.67572021,-49.40838000
6.77108765,-46.81172000
6.86645508,-45.25604000
6.96182251,-51.44480000
7.05718994,-45.14604000
7.15255737,-51.03748000
7.24792480,-50.63831000
7.34329224,-47.89833000
7.43865967,-52.06880000
7.53402710,-51.76125000
7.62939453,-44.89269000
7.72476196,-52.55307000
7.82012939,-49.76588000
7.91549683,-47.68353000
8.01086426,-48.44632000
8.10623169,-47.09350000
8.20159912,-43.09136000
8.29696655,-52.43777000
8.39233398,-57.64376000
8.48770142,-47.80293000
8.58306885,-48.51658000
8.67843628,-50.94321000
8.77380371,-43.41846000
8.86917114,-49.37238000
8.96453857,-59.15379000
9.05990601,-58.15390000
9.15527344,-44.62304000
9.25064087,-50.74715000
9.34600830,-45.15088000
9.44137573,-53.17234000
9.53674316,-57.40637000
9.63211060,-45.28693000
9.72747803,-58.86927000
9.82284546,-51.59003000
9.91821289,-54.53127000
10.01358032,-48.44174000
10.10894775,-50.15479000
10.20431519,-49.87296000
10.29968262,-49.50734000
10.39505005,-54.47891000
10.49041748,-45.61620000
10.58578491,-50.62217000
10.68115234,-57.42394000
10.77651978,-54.05725000
10.87188721,-45.70243000
10.96725464,-52.58998000
11.06262207,-57.08900000
11.15798950,-46.74506000
11.25335693,-49.85365000
11.34872437,-47.47784000
11.44409180,-50.40937000
11.53945923,-56.31089000
11.63482666,-49.71611000
11.73019409,-62.66258000
11.82556152,-50.61669000
11.92092896,-54.49478000
12.01629639,-58.91385000
12.11166382,-53.24030000
12.20703125,-64.33433000
12.30239868,-54.28065000
12.39776611,-62.31720000
12.49313354,-50.68463000
12.58850098,-58.73317000
