Time (ms),Channel A (mV),Channel B (V)

-9.68703907,-29.23673000,-0.04434339
-9.68191907,-29.23673000,-0.05313272
-9.67679907,-29.23673000,-0.05313272
-9.67167907,-29.23673000,-0.06192205
-9.66655907,-29.23673000,-0.07071139
-9.66143907,-29.23673000,-0.07950072
-9.65631907,-29.23673000,-0.08829005
-9.65119907,-29.23673000,-0.09707938
-9.64607907,-29.23673000,-0.10586870
-9.64095907,-29.23673000,-0.10586870
-9.63583907,-29.23673000,-0.11465800
-9.63071907,-29.23673000,-0.11465800
-9.62559907,-29.23673000,-0.14102600
-9.62047907,-29.23673000,-0.14102600
-9.61535907,-29.23673000,-0.14981540
-9.61023907,-29.23673000,-0.14981540
-9.60511907,-29.23673000,-0.15857420
-9.59999907,-27.49107000,-0.16736350
-9.59487907,-29.23673000,-0.17615280
-9.58975907,-29.23673000,-0.17615280
-9.58463907,-29.23673000,-0.18494220
-9.57951907,-27.49107000,-0.19373150
-9.57439907,-29.23673000,-0.20252080
-9.56927907,-29.23673000,-0.21131020
-9.56415907,-29.23673000,-0.22009950
-9.55903907,-27.49107000,-0.22009950
-9.55391907,-29.23673000,-0.22888880
-9.54879907,-29.23673000,-0.23767820
-9.54367907,-27.49107000,-0.24646750
-9.53855907,-29.23673000,-0.25525680
-9.53343907,-29.23673000,-0.25525680
-9.52831907,-27.49107000,-0.25525680
-9.52319907,-29.23673000,-0.27283550
-9.51807907,-27.49107000,-0.28162480
-9.51295907,-27.49107000,-0.28162480
-9.50783907,-25.74541000,-0.29041410
-9.50271907,-25.74541000,-0.29917290
-9.49759907,-29.23673000,-0.29917290
-9.49247907,-27.49107000,-0.30796230
-9.48735907,-27.49107000,-0.32554090
-9.48223907,-27.49107000,-0.32554090
-9.47711907,-27.49107000,-0.32554090
-9.47199907,-25.74541000,-0.34311960
-9.46687907,-25.74541000,-0.34311960
-9.46175907,-25.74541000,-0.35190890
-9.45663907,-25.74541000,-0.36069830
-9.45151907,-25.74541000,-0.36069830
-9.44639907,-25.74541000,-0.36948760
-9.44127907,-25.74541000,-0.37827690
