Time,Channel A,Channel B
(us),(mV),(V)

-48.48000026,-25.74541000,-0.43101290
-48.44000026,-25.74541000,-0.43101290
-48.40000026,-29.23673000,-0.43101290
-48.36000026,-29.23673000,-0.43101290
-48.32000026,-29.23673000,-0.43101290
-48.28000026,-30.98849000,-0.43101290
-48.24000026,-32.73415000,-0.42222360
-48.20000026,-32.73415000,-0.43101290
-48.16000026,-32.73415000,-0.43101290
-48.12000026,-32.73415000,-0.43101290
-48.08000026,-36.23158000,-0.42222360
-48.04000026,-36.23158000,-0.42222360
-48.00000026,-39.72289000,-0.42222360
-47.96000026,-39.72289000,-0.42222360
-47.92000026,-39.72289000,-0.42222360
-47.88000026,-41.47465000,-0.43101290
-47.84000026,-43.22031000,-0.42222360
-47.80000026,-43.22031000,-0.42222360
-47.76000026,-44.96597000,-0.42222360
-47.72000026,-44.96597000,-0.42222360
-47.68000026,-46.71774000,-0.42222360
-47.64000026,-46.71774000,-0.42222360
-47.60000026,-48.46339000,-0.42222360
-47.56000027,-50.20905000,-0.41343420
-47.52000027,-50.20905000,-0.41343420
-47.48000027,-50.20905000,-0.41343420
-47.44000027,-51.96081000,-0.40464490
-47.40000027,-53.70647000,-0.40464490
-47.36000027,-53.70647000,-0.39585560
-47.32000027,-53.70647000,-0.39585560
-47.28000027,-55.45213000,-0.39585560
-47.24000027,-57.20389000,-0.39585560
-47.20000027,-57.20389000,-0.39585560
-47.16000027,-57.20389000,-0.39585560
-47.12000027,-57.20389000,-0.38706620
-47.08000027,-58.94955000,-0.38706620
-47.04000027,-60.69521000,-0.38706620
-47.00000027,-60.69521000,-0.38706620
-46.96000027,-60.69521000,-0.38706620
-46.92000027,-62.44698000,-0.37827690
-46.88000027,-64.19263000,-0.36948760
-46.84000027,-64.19263000,-0.36948760
-46.80000027,-64.19263000,-0.36069830
-46.76000027,-65.93829000,-0.36069830
-46.72000027,-65.93829000,-0.36069830
-46.68000027,-65.93829000,-0.36069830
-46.64000027,-67.69006000,-0.36069830
-46.60000027,-67.69006000,-0.35190890
-46.56000027,-67.69006000,-0.35190890
-46.52000027,-69.43571000,-0.34311960
-46.48000027,-71.18137000,-0.34311960
-46.44000027,-71.18137000,-0.33433030
-46.40000027,-71.18137000,-0.33433030
-46.36000027,-72.93314000,-0.32554090
-46.32000027,-72.93314000,-0.32554090
-46.28000027,-74.67879000,-0.32554090
-46.24000027,-74.67879000,-0.32554090
-46.20000027,-74.67879000,-0.32554090
-46.16000027,-74.67879000,-0.31675160
-46.12000027,-74.67879000,-0.30796230
-46.08000027,-76.42445000,-0.30796230
-46.04000027,-78.17621000,-0.30796230
-46.00000027,-78.17621000,-0.30796230
-45.96000027,-78.17621000,-0.29917290
-45.92000028,-78.17621000,-0.29917290
-45.88000028,-78.17621000,-0.29041410
-45.84000028,-78.17621000,-0.29041410
-45.80000028,-78.17621000,-0.29041410
-45.76000028,-81.66753000,-0.28162480
-45.72000028,-81.66753000,-0.27283550
-45.68000028,-81.66753000,-0.27283550
-45.64000028,-81.66753000,-0.26404610
-45.60000028,-81.66753000,-0.26404610
-45.56000028,-81.66753000,-0.26404610
-45.52000028,-81.66753000,-0.25525680
-45.48000028,-81.66753000,-0.25525680
-45.44000028,-83.41930000,-0.24646750
-45.40000028,-83.41930000,-0.24646750
-45.36000028,-85.16496000,-0.23767820
-45.32000028,-85.16496000,-0.22888880
-45.28000028,-85.16496000,-0.22009950
-45.24000028,-85.16496000,-0.22009950
-45.20000028,-85.16496000,-0.21131020
-45.16000028,-85.16496000,-0.21131020
-45.12000028,-85.16496000,-0.20252080
-45.08000028,-86.91061000,-0.20252080
-45.04000028,-86.91061000,-0.19373150
-45.00000028,-86.91061000,-0.18494220
-44.96000028,-86.91061000,-0.18494220
-44.92000028,-86.91061000,-0.18494220
-44.88000028,-85.16496000,-0.17615280
-44.84000028,-86.91061000,-0.17615280
-44.80000028,-86.91061000,-0.17615280
-44.76000028,-88.66238000,-0.16736350
-44.72000028,-86.91061000,-0.15857420
-44.68000028,-86.91061000,-0.15857420
-44.64000028,-88.66238000,-0.14981540
-44.60000028,-86.91061000,-0.14102600
-44.56000028,-88.66238000,-0.14102600
-44.52000028,-88.66238000,-0.13223670
-44.48000028,-88.66238000,-0.12344740
-44.44000028,-86.91061000,-0.12344740
-44.40000028,-88.66238000,-0.11465800
-44.36000028,-86.91061000,-0.11465800
-44.32000028,-86.91061000,-0.10586870
-44.28000029,-86.91061000,-0.10586870
-44.24000029,-88.66238000,-0.10586870
-44.20000029,-88.66238000,-0.09707938
-44.16000029,-88.66238000,-0.08829005
-44.12000029,-88.66238000,-0.08829005
-44.08000029,-88.66238000,-0.08829005
-44.04000029,-86.91061000,-0.07950072
-44.00000029,-86.91061000,-0.07071139
-43.96000029,-86.91061000,-0.06192205
-43.92000029,-85.16496000,-0.06192205
-43.88000029,-86.91061000,-0.05313272
-43.84000029,-86.91061000,-0.04434339
-43.80000029,-85.16496000,-0.04434339
-43.76000029,-85.16496000,-0.04434339
-43.72000029,-85.16496000,-0.03555406
-43.68000029,-85.16496000,-0.03555406
-43.64000029,-85.16496000,-0.02676473
-43.60000029,-85.16496000,-0.01797540
-43.56000029,-85.16496000,-0.00921659
-43.52000029,-85.16496000,-0.00921659
-43.48000029,-83.41930000,-0.00921659
-43.44000029,-83.41930000,-0.00045778
-43.40000029,-83.41930000,0.00833155
-43.36000029,-83.41930000,0.01712088
-43.32000029,-81.66753000,0.02591021
-43.28000029,-81.66753000,0.03469954
-43.24000029,-81.66753000,0.03469954
-43.20000029,-81.66753000,0.04348888
-43.16000029,-79.92188000,0.04348888
-43.12000029,-81.66753000,0.06106754
-43.08000029,-79.92188000,0.06106754
-43.04000029,-79.92188000,0.06106754
-43.00000029,-78.17621000,0.06106754
-42.96000029,-79.92188000,0.06985687
-42.92000029,-78.17621000,0.07864620
-42.88000029,-78.17621000,0.07864620
-42.84000029,-78.17621000,0.08743553
-42.80000029,-76.42445000,0.08743553
-42.76000029,-76.42445000,0.09622486
-42.72000029,-74.67879000,0.10501420
-42.68000029,-74.67879000,0.11380350
-42.64000030,-74.67879000,0.11380350
-42.60000030,-74.67879000,0.12259290
-42.56000030,-72.93314000,0.13138220
-42.52000030,-72.93314000,0.14014100
-42.48000030,-71.18137000,0.14014100
-42.44000030,-71.18137000,0.14014100
-42.40000030,-71.18137000,0.14893030
-42.36000030,-71.18137000,0.15771970
-42.32000030,-69.43571000,0.15771970
-42.28000030,-69.43571000,0.16650900
-42.24000030,-67.69006000,0.16650900
-42.20000030,-67.69006000,0.16650900
-42.16000030,-65.93829000,0.16650900
-42.12000030,-64.19263000,0.17529830
-42.08000030,-64.19263000,0.18408760
-42.04000030,-64.19263000,0.19287700
-42.00000030,-64.19263000,0.20166630
-41.96000030,-62.44698000,0.20166630
-41.92000030,-60.69521000,0.21045560
-41.88000030,-60.69521000,0.21924500
-41.84000030,-60.69521000,0.21924500
-41.80000030,-58.94955000,0.22803430
-41.76000030,-58.94955000,0.23682360
-41.72000030,-57.20389000,0.23682360
-41.68000030,-57.20389000,0.23682360
-41.64000030,-57.20389000,0.23682360
-41.60000030,-55.45213000,0.23682360
-41.56000030,-53.70647000,0.24561300
-41.52000030,-53.70647000,0.24561300
-41.48000030,-53.70647000,0.25440230
-41.44000030,-51.96081000,0.25440230
-41.40000030,-50.20905000,0.26319160
-41.36000030,-50.20905000,0.27198090
-41.32000030,-50.20905000,0.27198090
-41.28000030,-48.46339000,0.27198090
-41.24000030,-46.71774000,0.28073980
-41.20000030,-46.71774000,0.28073980
-41.16000030,-44.96597000,0.28952910
-41.12000030,-44.96597000,0.28952910
-41.08000030,-43.22031000,0.29831840
-41.04000030,-43.22031000,0.29831840
-41.00000031,-41.47465000,0.30710770
-40.96000031,-39.72289000,0.30710770
-40.92000031,-39.72289000,0.30710770
-40.88000031,-37.97723000,0.30710770
-40.84000031,-36.23158000,0.30710770
-40.80000031,-36.23158000,0.31589710
-40.76000031,-36.23158000,0.31589710
-40.72000031,-36.23158000,0.32468640
-40.68000031,-32.73415000,0.32468640
-40.64000031,-32.73415000,0.33347570
-40.60000031,-32.73415000,0.34226510
-40.56000031,-29.23673000,0.34226510
-40.52000031,-29.23673000,0.34226510
-40.48000031,-29.23673000,0.35105440
-40.44000031,-29.23673000,0.35105440
-40.40000031,-25.74541000,0.35105440
-40.36000031,-25.74541000,0.35105440
-40.32000031,-23.99365000,0.35984370
-40.28000031,-23.99365000,0.35984370
-40.24000031,-22.24799000,0.35984370
-40.20000031,-22.24799000,0.35984370
-40.16000031,-20.50233000,0.36863310
-40.12000031,-20.50233000,0.36863310
-40.08000031,-18.75057000,0.37742240
-40.04000031,-18.75057000,0.37742240
-40.00000031,-15.25925000,0.37742240
-39.96000031,-15.25925000,0.37742240
-39.92000031,-15.25925000,0.38621170
-39.88000031,-13.50749000,0.38621170
-39.84000031,-11.76183000,0.39500110
-39.80000031,-11.76183000,0.38621170
-39.76000031,-8.26441300,0.39500110
-39.72000031,-8.26441300,0.40379040
-39.68000031,-8.26441300,0.39500110
-39.64000031,-6.51875400,0.40379040
-39.60000031,-4.77309500,0.40379040
-39.56000031,-4.77309500,0.40379040
-39.52000031,-3.02133300,0.40379040
-39.48000031,-1.27567400,0.40379040
-39.44000031,-1.27567400,0.40379040
-39.40000031,2.21564400,0.41257970
-39.36000032,2.21564400,0.41257970
-39.32000032,2.21564400,0.41257970
-39.28000032,3.96130300,0.41257970
-39.24000032,3.96130300,0.42133850
-39.20000032,5.70696100,0.42133850
-39.16000032,5.70696100,0.42133850
-39.12000032,7.45262000,0.42133850
-39.08000032,9.20438300,0.42133850
-39.04000032,9.20438300,0.42133850
-39.00000032,10.95004000,0.42133850
-38.96000032,12.69570000,0.42133850
-38.92000032,12.69570000,0.42133850
-38.88000032,14.44746000,0.43012790
-38.84000032,16.19312000,0.42133850
-38.80000032,16.19312000,0.43012790
-38.76000032,17.93878000,0.43012790
-38.72000032,19.69054000,0.43012790
-38.68000032,19.69054000,0.43012790
-38.64000032,19.69054000,0.43012790
-38.60000032,23.18186000,0.43891720
-38.56000032,23.18186000,0.43891720
-38.52000032,24.93362000,0.43891720
-38.48000032,24.93362000,0.43891720
-38.44000032,26.67928000,0.43891720
-38.40000032,26.67928000,0.43012790
-38.36000032,28.42494000,0.43012790
-38.32000032,30.17670000,0.43012790
-38.28000032,30.17670000,0.43012790
-38.24000032,30.17670000,0.42133850
-38.20000032,33.66802000,0.42133850
-38.16000032,33.66802000,0.42133850
-38.12000032,33.66802000,0.42133850
-38.08000032,35.41978000,0.42133850
-38.04000032,37.16544000,0.42133850
-38.00000032,37.16544000,0.42133850
-37.96000032,38.91110000,0.42133850
-37.92000032,40.66286000,0.43012790
-37.88000032,40.66286000,0.42133850
-37.84000032,40.66286000,0.42133850
-37.80000032,42.40852000,0.42133850
-37.76000032,42.40852000,0.42133850
-37.72000032,44.15418000,0.42133850
-37.68000033,44.15418000,0.42133850
-37.64000033,45.90594000,0.41257970
-37.60000033,47.65160000,0.42133850
-37.56000033,47.65160000,0.42133850
-37.52000033,49.39726000,0.41257970
-37.48000033,51.14902000,0.41257970
-37.44000033,51.14902000,0.41257970
-37.40000033,51.14902000,0.41257970
-37.36000033,52.89468000,0.41257970
-37.32000033,54.64034000,0.41257970
-37.28000033,54.64034000,0.41257970
-37.24000033,54.64034000,0.41257970
-37.20000033,56.39210000,0.41257970
-37.16000033,58.13776000,0.41257970
-37.12000033,58.13776000,0.40379040
-37.08000033,58.13776000,0.40379040
-37.04000033,59.88342000,0.40379040
-37.00000033,61.63518000,0.39500110
-36.96000033,61.63518000,0.39500110
-36.92000033,61.63518000,0.38621170
-36.88000033,61.63518000,0.38621170
-36.84000033,63.38084000,0.37742240
-36.80000033,65.12650000,0.38621170
-36.76000033,65.12650000,0.37742240
-36.72000033,65.12650000,0.37742240
-36.68000033,66.87827000,0.37742240
-36.64000033,68.62392000,0.37742240
-36.60000033,66.87827000,0.37742240
-36.56000033,68.62392000,0.36863310
-36.52000033,68.62392000,0.36863310
-36.48000033,70.36958000,0.35984370
-36.44000033,72.12134000,0.35984370
-36.40000033,72.12134000,0.35984370
-36.36000033,72.12134000,0.35105440
-36.32000033,72.12134000,0.35105440
-36.28000033,73.86700000,0.34226510
-36.24000033,75.61266000,0.34226510
-36.20000033,75.61266000,0.33347570
-36.16000033,75.61266000,0.34226510
-36.12000033,75.61266000,0.33347570
-36.08000033,77.36442000,0.32468640
-36.04000034,77.36442000,0.32468640
-36.00000034,79.11008000,0.31589710
-35.96000034,79.11008000,0.31589710
-35.92000034,79.11008000,0.31589710
-35.88000034,79.11008000,0.30710770
-35.84000034,79.11008000,0.30710770
-35.80000034,80.85574000,0.29831840
-35.76000034,80.85574000,0.30710770
-35.72000034,80.85574000,0.29831840
