Frequency,Channel B
(kHz),(dBu)

0.00000000,-28.80538000
0.09536743,-34.67612000
0.19073486,-42.11477000
0.28610229,-47.42393000
0.38146973,-45.44273000
0.47683716,-44.29150000
0.57220459,-48.72386000
0.66757202,-49.67039000
0.76293945,-48.25738000
0.85830688,-47.92377000
0.95367432,-46.27607000
1.04904175,-52.72877000
1.14440918,-51.61364000
1.23977661,-54.91961000
1.33514404,-49.56448000
1.43051147,-51.51447000
1.52587891,-68.04706000
1.62124634,-50.19585000
1.71661377,-51.95108000
1.81198120,-49.88029000
1.90734863,-68.64972000
2.00271606,-46.75823000
2.09808350,-50.07930000
2.19345093,-49.84491000
2.28881836,-43.37283000
2.38418579,-53.00492000
2.47955322,-45.34797000
2.57492065,-50.45222000
2.67028809,-48.71167000
2.76565552,-43.99801000
2.86102295,-45.04870000
2.95639038,-47.65627000
3.05175781,-42.78996000
3.14712524,-44.64878000
3.24249268,-42.16409000
3.33786011,-43.74786000
3.43322754,-40.82327000
3.52859497,-40.55384000
3.62396240,-39.03006000
3.71932983,-41.69323000
3.81469727,-35.88821000
3.91006470,-39.26197000
4.00543213,-34.73183000
4.10079956,-34.14326000
4.19616699,-32.72762000
4.29153442,-29.87585000
4.38690186,-28.16837000
4.48226929,-18.78342000
4.57763672,-5.65699400
4.67300415,1.40975300
4.76837158,1.84075100
4.86373901,-4.31597600
4.95910645,-17.04914000
5.05447388,-26.92101000
5.14984131,-29.19343000
5.24520874,-31.17223000
5.34057617,-32.98352000
5.43594360,-35.00957000
5.53131104,-34.81639000
5.62667847,-34.67799000
5.72204590,-40.07747000
5.81741333,-35.74432000
5.91278076,-39.75168000
6.00814819,-37.49470000
6.10351563,-40.83054000
6.19888306,-40.60322000
6.29425049,-39.20987000
6.38961792,-42.52125000
6.48498535,-40.99248000
6.58035278,-41.73300000
6.67572021,-40.57863000
6.77108765,-45.92239000
6.86645508,-41.46398000
6.96182251,-45.96548000
7.05718994,-41.30054000
7.15255737,-44.49137000
7.24792480,-43.84593000
7.34329224,-47.10253000
7.43865967,-42.14603000
7.53402710,-44.75073000
7.62939453,-47.12959000
7.72476196,-45.05940000
7.82012939,-42.81160000
7.91549683,-51.61285000
8.01086426,-43.39713000
8.10623169,-46.60599000
8.20159912,-43.72506000
8.29696655,-42.22672000
8.39233398,-52.90515000
8.48770142,-43.64774000
8.58306885,-47.92829000
8.67843628,-44.67976000
8.77380371,-45.16349000
8.86917114,-49.52796000
8.96453857,-44.18193000
9.05990601,-47.73112000
9.15527344,-48.29354000
9.25064087,-43.64182000
9.34600830,-53.33187000
9.44137573,-47.45926000
9.53674316,-48.71609000
9.63211060,-45.98212000
9.72747803,-46.97156000
9.82284546,-46.53412000
9.91821289,-56.78297000
10.01358032,-43.34020000
10.10894775,-46.70490000
10.20431519,-51.07012000
10.29968262,-43.55711000
10.39505005,-59.69528000
10.49041748,-44.52241000
10.58578491,-48.98430000
10.68115234,-56.20586000
10.77651978,-48.77179000
10.87188721,-49.51090000
10.96725464,-44.96997000
11.06262207,-54.30484000
11.15798950,-48.02034000
11.25335693,-59.26852000
11.34872437,-44.89634000
11.44409180,-51.24750000
11.53945923,-48.76307000
11.63482666,-49.59190000
11.73019409,-49.07953000
11.82556152,-57.45296000
11.92092896,-51.62208000
12.01629639,-46.14396000
12.11166382,-46.21993000
12.20703125,-61.81041000
12.30239868,-48.16868000
12.39776611,-46.25445000
12.49313354,-54.16020000
12.58850098,-49.95062000
12.68386841,-56.92476000
