Time,Channel B
(ms),(V)

-100.11854023,4.93560600
-100.07758023,4.93560600
-100.03662023,4.93560600
-99.99566023,4.93560600
-99.95470023,4.93560600
-99.91374023,4.93560600
-99.87278023,4.93560600
-99.83182023,4.93560600
-99.79086023,4.93560600
-99.74990023,4.93560600
-99.70894023,4.93560600
-99.66798023,4.93560600
-99.62702023,4.93560600
-99.58606023,4.93560600
-99.54510023,4.93560600
-99.50414023,4.93560600
-99.46318023,4.93560600
-99.42222023,4.93560600
-99.38126023,4.93560600
-99.34030023,4.93560600
-99.29934023,4.93560600
-99.25838023,4.93560600
-99.21742023,4.93560600
-99.17646023,4.93560600
-99.13550023,4.93560600
-99.09454023,4.93560600
-99.05358023,4.93560600
-99.01262023,4.93560600
-98.97166023,4.93560600
-98.93070023,4.93560600
-98.88974023,4.93560600
-98.84878024,4.93560600
-98.80782024,4.93560600
-98.76686024,4.93560600
-98.72590024,4.93560600
-98.68494024,4.93560600
-98.64398024,4.93560600
-98.60302024,4.93560600
-98.56206024,4.93560600
-98.52110024,4.93560600
-98.48014024,4.93560600
-98.43918024,4.93560600
-98.39822024,4.93560600
-98.35726024,4.93560600
-98.31630024,4.93560600
-98.27534024,4.93560600
-98.23438024,4.93560600
-98.19342024,4.93560600
-98.15246024,4.93560600
-98.11150024,4.93560600
-98.07054024,4.93560600
-98.02958024,4.93560600
-97.98862024,4.93560600
-97.94766024,4.93560600
-97.90670024,4.93560600
-97.86574024,4.93560600
-97.82478024,4.93560600
-97.78382024,4.93560600
-97.74286024,4.93560600
-97.70190024,4.93560600
-97.66094024,4.93560600
-97.61998024,4.93560600
-97.57902024,4.93560600
-97.53806024,4.93560600
-97.49710024,4.93560600
-97.45614024,4.93560600
-97.41518024,4.93560600
-97.37422024,4.93560600
-97.33326024,4.97970500
-97.29230024,4.93560600
-97.25134024,4.93560600
-97.21038025,4.93560600
-97.16942025,4.93560600
-97.12846025,4.93560600
-97.08750025,4.93560600
-97.04654025,4.93560600
-97.00558025,4.93560600
-96.96462025,4.93560600
-96.92366025,4.97970500
-96.88270025,4.93560600
-96.84174025,4.93560600
-96.80078025,4.93560600
-96.75982025,4.93560600
-96.71886025,4.93560600
-96.67790025,4.93560600
-96.63694025,4.93560600
-96.59598025,4.93560600
-96.55502025,4.93560600
-96.51406025,4.93560600
-96.47310025,4.93560600
-96.43214025,4.97970500
-96.39118025,4.93560600
-96.35022025,4.93560600
-96.30926025,4.93560600
-96.26830025,4.93560600
-96.22734025,4.93560600
-96.18638025,4.93560600
-96.14542025,4.93560600
-96.10446025,4.93560600
-96.06350025,4.93560600
-96.02254025,4.93560600
-95.98158025,4.93560600
-95.94062025,4.93560600
-95.89966025,4.93560600
-95.85870025,4.93560600
-95.81774025,4.93560600
-95.77678025,4.93560600
-95.73582025,4.93560600
-95.69486025,4.93560600
-95.65390025,4.93560600
-95.61294025,4.93560600
-95.57198026,4.93560600
-95.53102026,4.93560600
-95.49006026,4.93560600
-95.44910026,4.93560600
-95.40814026,4.93560600
-95.36718026,4.93560600
-95.32622026,4.93560600
