Frequency,Channel A,Channel B
(kHz),(dBu),(dBu)

0.00000000,-75.47316000,-14.21253000
0.04768372,-83.83874000,-27.70988000
0.09536743,-81.56221000,-21.02894000
0.14305115,-78.99363000,-22.58783000
0.19073486,-83.75118000,-22.43283000
0.23841858,-82.11784000,-23.39146000
0.28610229,-78.69397000,-23.05301000
0.33378601,-84.37901000,-24.48417000
0.38146973,-80.86023000,-24.74962000
0.42915344,-78.53668000,-25.70689000
0.47683716,-86.72157000,-26.72679000
0.52452087,-79.95968000,-26.80167000
0.57220459,-79.72337000,-28.16692000
0.61988831,-85.04813000,-29.24602000
0.66757202,-80.49838000,-30.27464000
0.71525574,-79.04025000,-29.46360000
0.76293945,-87.44762000,-31.03847000
0.81062317,-79.01499000,-30.91848000
0.85830688,-79.92410000,-33.12476000
0.90599060,-85.73872000,-31.64698000
0.95367432,-79.23549000,-31.28532000
1.00135803,-80.74095000,-34.87775000
1.04904175,-85.28888000,-32.37541000
1.09672546,-79.19164000,-33.20552000
1.14440918,-80.28645000,-33.64665000
1.19209290,-85.71275000,-34.82372000
1.23977661,-78.22317000,-33.58533000
1.28746033,-82.22279000,-36.54973000
1.33514404,-83.08689000,-33.80960000
1.38282776,-79.07034000,-36.50696000
1.43051147,-82.07261000,-35.16484000
1.47819519,-83.84599000,-35.60019000
1.52587891,-78.44501000,-35.08852000
1.57356262,-82.75362000,-36.67467000
1.62124634,-82.13078000,-36.12960000
1.66893005,-78.35037000,-36.40182000
1.71661377,-84.90805000,-37.07925000
1.76429749,-81.20937000,-36.44299000
1.81198120,-79.24760000,-37.52136000
1.85966492,-83.87888000,-36.51014000
1.90734863,-81.60325000,-37.37033000
1.95503235,-78.43651000,-37.63654000
2.00271606,-86.44009000,-36.37247000
2.05039978,-79.80013000,-40.25869000
2.09808350,-79.30424000,-36.70189000
2.14576721,-85.93731000,-37.47981000
2.19345093,-80.08887000,-37.48540000
2.24113464,-79.71790000,-37.14003000
2.28881836,-85.84572000,-37.86729000
2.33650208,-79.67411000,-38.92287000
2.38418579,-79.32914000,-38.82046000
2.43186951,-87.29275000,-38.25702000
2.47955322,-78.65810000,-37.93885000
2.52723694,-80.96820000,-39.51221000
2.57492065,-84.55280000,-36.52113000
2.62260437,-79.42341000,-38.73722000
2.67028809,-80.63747000,-38.64532000
2.71797180,-85.75100000,-37.94302000
2.76565552,-78.48019000,-37.83789000
2.81333923,-81.33620000,-38.88553000
2.86102295,-83.70048000,-37.69202000
2.90870667,-78.44891000,-38.60303000
2.95639038,-83.03422000,-38.42409000
3.00407410,-82.76202000,-38.15639000
3.05175781,-79.05164000,-37.25655000
3.09944153,-82.31552000,-39.82372000
3.14712524,-83.06940000,-36.41284000
3.19480896,-78.13102000,-37.23846000
3.24249268,-84.62479000,-38.37827000
3.29017639,-80.90598000,-38.21813000
3.33786011,-78.97820000,-37.58250000
3.38554382,-84.75562000,-36.92068000
3.43322754,-81.28142000,-38.16419000
3.48091125,-79.01997000,-35.88828000
3.52859497,-84.98879000,-37.31989000
3.57627869,-80.46106000,-36.45859000
3.62396240,-78.68722000,-37.09502000
3.67164612,-87.42981000,-35.31361000
3.71932983,-79.39820000,-36.45393000
3.76701355,-80.05762000,-35.50686000
3.81469727,-85.23911000,-35.32200000
3.86238098,-80.06653000,-34.42273000
3.91006470,-79.53269000,-35.24810000
3.95774841,-87.13315000,-33.26734000
4.00543213,-78.80174000,-33.96952000
4.05311584,-80.24360000,-33.46286000
4.10079956,-85.31739000,-32.30455000
4.14848328,-78.83514000,-31.94418000
4.19616699,-81.47340000,-31.12495000
4.24385071,-84.42084000,-30.54771000
4.29153442,-79.12829000,-29.10290000
4.33921814,-80.88423000,-27.28712000
4.38690186,-84.87581000,-27.81171000
4.43458557,-78.11373000,-24.11585000
4.48226929,-82.88408000,-22.19367000
4.52995300,-82.31410000,-17.33167000
4.57763672,-78.93156000,-11.36313000
4.62532043,-83.03794000,-6.39685600
4.67300415,-82.83119000,-4.39955200
4.72068787,-78.62228000,-6.43505700
4.76837158,-83.43011000,-11.44519000
4.81605530,-81.57732000,-17.49615000
4.86373901,-78.34482000,-23.07304000
4.91142273,-85.95787000,-24.84266000
4.95910645,-80.46083000,-28.53292000
5.00679016,-79.45809000,-29.76785000
5.05447388,-84.60213000,-30.77127000
5.10215759,-81.02554000,-32.96273000
5.14984131,-78.75485000,-32.62185000
5.19752502,-86.93340000,-36.16118000
5.24520874,-79.42127000,-36.09958000
5.29289246,-79.47691000,-33.84205000
5.34057617,-86.23492000,-39.62343000
5.38825989,-79.52257000,-36.61271000
5.43594360,-80.27693000,-39.44020000
5.48362732,-85.57301000,-40.95076000
5.53131104,-79.48218000,-38.86346000
5.57899475,-79.75086000,-41.61977000
5.62667847,-86.74083000,-40.16076000
5.67436218,-78.38412000,-39.91007000
5.72204590,-81.47818000,-41.88536000
5.76972961,-83.87196000,-44.98438000
5.81741333,-79.16068000,-41.01028000
5.86509705,-81.43138000,-42.71831000
5.91278076,-84.67270000,-45.77013000
5.96046448,-78.51057000,-45.79842000
6.00814819,-81.89441000,-40.84759000
6.05583191,-83.02817000,-50.54492000
6.10351563,-78.29047000,-45.20267000
6.15119934,-84.01393000,-43.84605000
6.19888306,-81.84712000,-49.80164000
6.24656677,-79.14476000,-44.11178000
6.29425049,-83.14070000,-50.73582000
6.34193420,-82.33448000,-44.14075000
6.38961792,-78.28460000,-46.44753000
6.43730164,-85.38863000,-45.21326000
6.48498535,-80.35555000,-50.43073000
6.53266907,-79.01476000,-45.47437000
6.58035278,-85.67270000,-46.36639000
6.62803650,-80.53436000,-50.60001000
6.67572021,-79.42072000,-46.54414000
6.72340393,-85.41573000,-51.62508000
6.77108765,-80.12916000,-53.83550000
6.81877136,-78.93844000,-45.76771000
6.86645508,-87.71745000,-60.63745000
6.91413879,-78.95107000,-47.65984000
6.96182251,-80.42664000,-50.69062000
7.00950623,-85.07516000,-57.78481000
7.05718994,-79.67348000,-48.69946000
7.10487366,-80.13696000,-51.38743000
7.15255737,-86.41189000,-49.21383000
7.20024109,-78.68181000,-54.52296000
7.24792480,-80.64332000,-51.29526000
7.29560852,-84.70638000,-56.20239000
7.34329224,-78.52168000,-61.36204000
7.39097595,-82.27925000,-49.46983000
7.43865967,-83.47092000,-49.24245000
7.48634338,-79.10480000,-57.46564000
7.53402710,-81.59256000,-50.95930000
7.58171082,-84.01008000,-55.93098000
7.62939453,-78.10693000,-53.73193000
7.67707825,-83.58374000,-55.36938000
7.72476196,-81.61057000,-48.65055000
7.77244568,-78.83897000,-59.37155000
7.82012939,-84.07549000,-46.51583000
7.86781311,-81.89515000,-51.46400000
7.91549683,-78.87518000,-55.74429000
7.96318054,-84.11935000,-49.79992000
8.01086426,-81.09422000,-52.28413000
8.05854797,-78.43429000,-50.62844000
8.10623169,-86.89236000,-54.48867000
8.15391541,-79.83056000,-51.93526000
8.20159912,-79.69976000,-53.15769000
8.24928284,-85.13342000,-47.92489000
8.29696655,-80.49014000,-65.35081000
8.34465027,-79.17905000,-52.16021000
8.39233398,-87.05474000,-53.45817000
8.44001770,-79.14326000,-46.13271000
8.48770142,-79.72095000,-48.57197000
8.53538513,-86.13460000,-62.75446000
8.58306885,-79.04628000,-73.17432000
8.63075256,-80.90666000,-49.11274000
8.67843628,-84.96612000,-50.30785000
8.72612000,-79.33742000,-55.96953000
8.77380371,-80.28545000,-53.68377000
8.82148743,-85.93738000,-52.14632000
8.86917114,-78.21590000,-54.57878000
8.91685486,-82.03259000,-61.97739000
8.96453857,-83.12534000,-54.00346000
9.01222229,-78.94093000,-58.52876000
9.05990601,-82.33672000,-53.24403000
9.10758972,-83.59314000,-49.99740000
9.15527344,-78.62012000,-50.76774000
9.20295715,-82.53188000,-43.75874000
9.25064087,-82.40018000,-45.12850000
9.29832458,-78.22374000,-43.72344000
9.34600830,-85.02652000,-43.38383000
9.39369202,-81.03550000,-43.46912000
9.44137573,-79.26839000,-42.30445000
9.48905945,-83.98488000,-45.16094000
9.53674316,-81.64195000,-46.00546000
9.58442688,-78.54025000,-51.74361000
9.63211060,-86.05510000,-53.14322000
9.67979431,-79.91050000,-54.34992000
9.72747803,-79.11379000,-57.63894000
9.77516174,-86.35843000,-49.50573000
9.82284546,-79.88219000,-49.73224000
9.87052917,-79.88965000,-50.76874000
9.91821289,-85.53780000,-56.19687000
9.96589661,-79.85352000,-53.33503000
10.01358032,-79.29639000,-50.08666000
10.06126404,-87.51620000,-57.68334000
10.10894775,-78.61530000,-55.24435000
10.15663147,-80.83441000,-49.82704000
10.20431519,-84.61056000,-52.61928000
10.25199890,-79.32301000,-51.25970000
10.29968262,-80.85354000,-50.66315000
10.34736633,-85.43743000,-58.82003000
10.39505005,-78.64690000,-50.72300000
10.44273376,-81.13170000,-52.80861000
10.49041748,-84.01947000,-51.22446000
10.53810120,-78.29936000,-56.43669000
10.58578491,-83.14864000,-57.02425000
10.63346863,-82.53819000,-60.28425000
10.68115234,-79.11416000,-56.42068000
10.72883606,-82.40135000,-51.81346000
10.77651978,-83.15986000,-50.69414000
10.82420349,-78.20129000,-50.50251000
10.87188721,-84.30774000,-50.33529000
10.91957092,-80.99944000,-66.60050000
10.96725464,-78.80181000,-52.49962000
11.01493835,-85.12498000,-52.51667000
11.06262207,-81.05388000,-51.50860000
11.11030579,-79.19629000,-60.38776000
11.15798950,-84.74342000,-50.80755000
11.20567322,-80.67501000,-49.62389000
11.25335693,-78.62425000,-50.73592000
11.30104065,-87.56065000,-51.36928000
11.34872437,-79.31760000,-50.17347000
11.39640808,-79.97426000,-53.37499000
11.44409180,-85.35302000,-55.53341000
