Time,Channel A,Channel B
(ms),(mV),(V)

-0.96896000,-26.94784000,-0.26404610
-0.96832000,-26.94784000,-0.24646750
-0.96768000,-26.94784000,-0.23767820
-0.96704000,-22.58370000,-0.22009950
-0.96640000,-13.85540000,-0.22009950
-0.96576000,-13.85540000,-0.19373150
-0.96512000,-13.85540000,-0.18494220
-0.96448000,-13.85540000,-0.17615280
-0.96384000,-9.47599600,-0.15857420
-0.96320000,-5.11185000,-0.14981540
-0.96256000,-5.11185000,-0.13223670
-0.96192000,-0.74770340,-0.11465800
-0.96128000,-0.74770340,-0.10586870
-0.96064000,3.61644300,-0.08829005
-0.96000000,3.61644300,-0.07950072
-0.95936000,7.98059000,-0.05313272
-0.95872000,12.34474000,-0.04434339
-0.95808000,12.34474000,-0.02676473
-0.95744000,16.70888000,-0.00921659
-0.95680000,21.08829000,-0.00045778
-0.95616000,21.08829000,0.01712088
-0.95552000,21.08829000,0.03469954
-0.95488000,25.45243000,0.05227821
-0.95424000,29.81658000,0.06106754
-0.95360000,29.81658000,0.07864620
-0.95296000,29.81658000,0.09622486
-0.95232000,38.56013000,0.10501420
-0.95168000,38.56013000,0.12259290
-0.95104000,38.56013000,0.13138220
-0.95040000,38.56013000,0.14893030
-0.94976000,42.92428000,0.16650900
-0.94912000,42.92428000,0.17529830
-0.94848000,47.28843000,0.19287700
-0.94784000,47.28843000,0.20166630
-0.94720000,51.65257000,0.21924500
-0.94656000,47.28843000,0.23682360
-0.94592000,56.03198000,0.23682360
-0.94528000,56.03198000,0.25440230
-0.94464000,56.03198000,0.27198090
-0.94400000,56.03198000,0.27198090
-0.94336000,56.03198000,0.28952910
-0.94272000,56.03198000,0.29831840
-0.94208000,60.39613000,0.30710770
-0.94144000,60.39613000,0.31589710
-0.94080000,60.39613000,0.32468640
-0.94016000,64.76027000,0.34226510
-0.93952000,64.76027000,0.34226510
-0.93888000,64.76027000,0.35105440
-0.93824000,64.76027000,0.35984370
-0.93760000,64.76027000,0.36863310
-0.93696000,64.76027000,0.37742240
-0.93632000,64.76027000,0.37742240
-0.93568000,64.76027000,0.37742240
-0.93504000,64.76027000,0.38621170
-0.93440000,64.76027000,0.38621170
-0.93376000,64.76027000,0.38621170
-0.93312000,64.76027000,0.39500110
-0.93248000,64.76027000,0.39500110
-0.93184000,64.76027000,0.39500110
-0.93120000,64.76027000,0.39500110
-0.93056000,60.39613000,0.39500110
-0.92992000,60.39613000,0.40379040
-0.92928000,60.39613000,0.39500110
-0.92864000,60.39613000,0.40379040
-0.92800000,56.03198000,0.39500110
-0.92736000,56.03198000,0.38621170
-0.92672000,56.03198000,0.38621170
-0.92608000,56.03198000,0.38621170
-0.92544000,56.03198000,0.37742240
-0.92480000,56.03198000,0.37742240
-0.92416000,56.03198000,0.37742240
-0.92352000,47.28843000,0.36863310
-0.92288000,47.28843000,0.35984370
-0.92224000,47.28843000,0.35105440
-0.92160000,42.92428000,0.34226510
-0.92096000,42.92428000,0.34226510
-0.92032000,38.56013000,0.33347570
-0.91968000,38.56013000,0.32468640
-0.91904000,38.56013000,0.31589710
-0.91840000,34.18073000,0.30710770
-0.91776000,29.81658000,0.29831840
-0.91712000,29.81658000,0.28073980
-0.91648000,29.81658000,0.27198090
-0.91584000,25.45243000,0.25440230
-0.91520000,21.08829000,0.24561300
-0.91456000,21.08829000,0.23682360
-0.91392000,21.08829000,0.21924500
-0.91328000,16.70888000,0.21045560
-0.91264000,12.34474000,0.20166630
-0.91200000,12.34474000,0.17529830
-0.91136000,7.98059000,0.16650900
-0.91072000,3.61644300,0.15771970
-0.91008000,3.61644300,0.14014100
-0.90944000,3.61644300,0.13138220
-0.90880000,-5.11185000,0.10501420
-0.90816000,-5.11185000,0.09622486
-0.90752000,-5.11185000,0.07864620
-0.90688000,-9.47599600,0.06106754
-0.90624000,-13.85540000,0.05227821
-0.90560000,-13.85540000,0.03469954
-0.90496000,-13.85540000,0.01712088
-0.90432000,-13.85540000,-0.00045778
-0.90368000,-22.58370000,-0.00921659
-0.90304000,-22.58370000,-0.02676473
-0.90240000,-26.94784000,-0.03555406
-0.90176000,-26.94784000,-0.05313272
-0.90112000,-31.32725000,-0.07071139
-0.90048000,-31.32725000,-0.07950072
-0.89984000,-35.69139000,-0.10586870
-0.89920000,-35.69139000,-0.11465800
-0.89856000,-40.05554000,-0.13223670
-0.89792000,-40.05554000,-0.14981540
-0.89728000,-40.05554000,-0.15857420
-0.89664000,-48.79910000,-0.17615280
-0.89600000,-48.79910000,-0.18494220
-0.89536000,-48.79910000,-0.20252080
-0.89472000,-48.79910000,-0.21131020
-0.89408000,-48.79910000,-0.22009950
-0.89344000,-53.16324000,-0.23767820
-0.89280000,-57.52739000,-0.25525680
-0.89216000,-57.52739000,-0.26404610
-0.89152000,-57.52739000,-0.27283550
-0.89088000,-57.52739000,-0.28162480
-0.89024000,-61.89153000,-0.29041410
-0.88960000,-61.89153000,-0.29917290
-0.88896000,-61.89153000,-0.30796230
-0.88832000,-66.27094000,-0.32554090
-0.88768000,-66.27094000,-0.32554090
-0.88704000,-66.27094000,-0.33433030
-0.88640000,-66.27094000,-0.34311960
-0.88576000,-66.27094000,-0.36069830
-0.88512000,-66.27094000,-0.36069830
-0.88448000,-66.27094000,-0.36069830
-0.88384000,-66.27094000,-0.36948760
-0.88320000,-66.27094000,-0.37827690
-0.88256000,-66.27094000,-0.37827690
-0.88192000,-66.27094000,-0.38706620
-0.88128000,-66.27094000,-0.38706620
-0.88064000,-66.27094000,-0.38706620
-0.88000000,-66.27094000,-0.39585560
-0.87936000,-66.27094000,-0.39585560
-0.87872000,-66.27094000,-0.39585560
-0.87808000,-66.27094000,-0.39585560
-0.87744000,-61.89153000,-0.39585560
-0.87680000,-61.89153000,-0.39585560
-0.87616000,-57.52739000,-0.39585560
-0.87552000,-57.52739000,-0.39585560
-0.87488000,-57.52739000,-0.38706620
-0.87424000,-57.52739000,-0.38706620
-0.87360000,-57.52739000,-0.37827690
-0.87296000,-57.52739000,-0.37827690
-0.87232000,-53.16324000,-0.36948760
-0.87168000,-48.79910000,-0.36948760
-0.87104000,-48.79910000,-0.36069830
-0.87040000,-48.79910000,-0.35190890
-0.86976000,-48.79910000,-0.35190890
-0.86912000,-48.79910000,-0.34311960
