Frequency,Channel B
(kHz),(dBu)

0.00000000,-57.32229000
0.09536743,-57.63279000
0.19073486,-62.46483000
0.28610229,-69.46349000
0.38146973,-60.95398000
0.47683716,-58.56689000
0.57220459,-59.37320000
0.66757202,-65.78027000
0.76293945,-63.25275000
0.85830688,-63.08945000
0.95367432,-61.22631000
1.04904175,-62.71737000
1.14440918,-62.36038000
1.23977661,-72.81226000
1.33514404,-62.13648000
1.43051147,-40.69767000
1.52587891,-23.84520000
1.62124634,-17.58224000
1.71661377,-19.23491000
1.81198120,-29.23441000
1.90734863,-49.86255000
2.00271606,-62.85352000
2.09808350,-78.09892000
2.19345093,-65.68364000
2.28881836,-74.05427000
2.38418579,-70.21475000
2.47955322,-70.04270000
2.57492065,-73.00630000
2.67028809,-61.18161000
2.76565552,-57.16643000
2.86102295,-55.12543000
2.95639038,-54.53316000
3.05175781,-57.05198000
3.14712524,-67.33183000
3.24249268,-76.06278000
3.33786011,-68.23988000
3.43322754,-58.10588000
3.52859497,-61.05003000
3.62396240,-64.64407000
3.71932983,-66.29746000
3.81469727,-70.03774000
3.91006470,-58.47224000
4.00543213,-61.42374000
4.10079956,-61.39151000
4.19616699,-54.42943000
4.29153442,-53.10957000
4.38690186,-45.69267000
4.48226929,-32.28578000
4.57763672,-17.06147000
4.67300415,-9.60781800
4.76837158,-9.29428000
4.86373901,-16.07094000
4.95910645,-30.60769000
5.05447388,-45.23888000
5.14984131,-51.59692000
5.24520874,-55.18723000
5.34057617,-63.42121000
5.43594360,-61.52427000
5.53131104,-59.93711000
5.62667847,-65.50271000
5.72204590,-67.20837000
5.81741333,-64.93609000
5.91278076,-68.85554000
6.00814819,-63.79202000
6.10351563,-72.33690000
6.19888306,-67.55207000
6.29425049,-65.78310000
6.38961792,-57.59333000
6.48498535,-56.36656000
6.58035278,-58.48097000
6.67572021,-63.83164000
6.77108765,-69.14801000
6.86645508,-81.07664000
6.96182251,-73.73332000
7.05718994,-69.62334000
7.15255737,-73.75603000
7.24792480,-63.38476000
7.34329224,-60.70833000
7.43865967,-62.28283000
7.53402710,-61.81612000
7.62939453,-65.36485000
7.72476196,-74.06687000
7.82012939,-65.80116000
7.91549683,-65.19693000
8.01086426,-62.30133000
8.10623169,-65.39609000
8.20159912,-70.19404000
8.29696655,-61.53120000
8.39233398,-60.41596000
8.48770142,-60.34758000
8.58306885,-62.57397000
8.67843628,-63.28273000
8.77380371,-66.20337000
8.86917114,-64.55603000
8.96453857,-63.38177000
9.05990601,-64.40292000
9.15527344,-63.38724000
9.25064087,-68.73227000
9.34600830,-64.68534000
9.44137573,-64.92688000
9.53674316,-64.56667000
9.63211060,-67.08295000
9.72747803,-65.57208000
9.82284546,-68.57474000
9.91821289,-64.71040000
10.01358032,-63.71530000
10.10894775,-70.13371000
10.20431519,-68.49200000
10.29968262,-69.50768000
10.39505005,-74.63238000
10.49041748,-67.04675000
10.58578491,-60.42780000
10.68115234,-59.45300000
10.77651978,-63.36119000
10.87188721,-72.84154000
10.96725464,-67.84177000
11.06262207,-68.36343000
11.15798950,-70.66973000
11.25335693,-71.55988000
11.34872437,-70.49484000
11.44409180,-71.05481000
11.53945923,-82.23570000
11.63482666,-65.39986000
11.73019409,-60.65112000
11.82556152,-59.37632000
11.92092896,-61.81864000
12.01629639,-68.43201000
12.11166382,-77.65204000
12.20703125,-61.50429000
12.30239868,-58.28495000
12.39776611,-59.26675000
12.49313354,-60.90445000
12.58850098,-62.15397000
