Frequency,Channel B
(kHz),(dBu)

0.00000000,-28.02234000
0.04768372,-36.23476000
0.09536743,-49.56593000
0.14305115,-43.26535000
0.19073486,-44.15287000
0.23841858,-49.40053000
0.28610229,-52.72219000
0.33378601,-52.47792000
0.38146973,-62.70332000
0.42915344,-51.33068000
0.47683716,-48.53034000
0.52452087,-49.98000000
0.57220459,-54.69459000
0.61988831,-57.94358000
0.66757202,-65.67651000
0.71525574,-63.40724000
0.76293945,-55.34298000
0.81062317,-58.26355000
0.85830688,-51.92797000
0.90599060,-50.65465000
0.95367432,-64.61314000
1.00135803,-67.64087000
1.04904175,-66.68060000
1.09672546,-54.55349000
1.14440918,-49.43127000
1.19209290,-53.35411000
1.23977661,-54.23012000
1.28746033,-54.64603000
1.33514404,-62.32845000
1.38282776,-51.30365000
1.43051147,-52.80707000
1.47819519,-66.03843000
1.52587891,-55.37831000
1.57356262,-54.96013000
1.62124634,-51.67318000
1.66893005,-48.86835000
1.71661377,-49.92859000
1.76429749,-53.31813000
1.81198120,-62.07520000
1.85966492,-62.15265000
1.90734863,-68.08801000
1.95503235,-63.52559000
2.00271606,-61.42676000
2.05039978,-57.41771000
2.09808350,-55.23954000
2.14576721,-54.63950000
2.19345093,-52.83941000
2.24113464,-50.23401000
2.28881836,-49.96610000
2.33650208,-47.82447000
2.38418579,-46.77341000
2.43186951,-51.11297000
2.47955322,-54.14252000
2.52723694,-48.89888000
2.57492065,-51.96250000
2.62260437,-52.13089000
2.67028809,-51.68991000
2.71797180,-52.83136000
2.76565552,-52.55699000
2.81333923,-58.68951000
2.86102295,-61.62886000
2.90870667,-57.97413000
2.95639038,-54.14412000
3.00407410,-50.41155000
3.05175781,-49.61994000
3.09944153,-49.13780000
3.14712524,-49.44641000
3.19480896,-50.40974000
3.24249268,-54.87471000
3.29017639,-62.38941000
3.33786011,-70.71435000
3.38554382,-57.45123000
3.43322754,-55.00360000
3.48091125,-57.76181000
3.52859497,-60.72673000
3.57627869,-68.03929000
3.62396240,-58.16117000
3.67164612,-54.32412000
3.71932983,-55.99411000
3.76701355,-58.74588000
3.81469727,-58.43551000
3.86238098,-57.62285000
3.91006470,-52.81975000
3.95774841,-54.84140000
4.00543213,-53.91349000
4.05311584,-57.14660000
4.10079956,-57.65542000
4.14848328,-51.32346000
4.19616699,-51.17124000
4.24385071,-50.42337000
4.29153442,-50.31751000
4.33921814,-50.83214000
4.38690186,-53.45461000
4.43458557,-55.14105000
4.48226929,-52.40535000
4.52995300,-53.43167000
4.57763672,-56.48433000
4.62532043,-53.06098000
4.67300415,-55.36242000
4.72068787,-61.56870000
4.76837158,-54.35588000
4.81605530,-58.43143000
4.86373901,-63.62860000
4.91142273,-60.06544000
4.95910645,-56.86095000
5.00679016,-54.35335000
5.05447388,-53.16758000
5.10215759,-54.74608000
5.14984131,-63.80157000
5.19752502,-54.76834000
5.24520874,-56.87926000
5.29289246,-58.07405000
5.34057617,-55.74268000
5.38825989,-59.38090000
5.43594360,-57.70248000
5.48362732,-59.95338000
5.53131104,-79.48576000
5.57899475,-58.25802000
5.62667847,-51.07902000
5.67436218,-63.30660000
5.72204590,-54.36343000
5.76972961,-69.35580000
5.81741333,-57.11864000
5.86509705,-54.42929000
5.91278076,-57.41276000
5.96046448,-63.82944000
6.00814819,-59.56187000
6.05583191,-52.44910000
6.10351563,-61.89308000
6.15119934,-52.91085000
6.19888306,-51.98960000
6.24656677,-67.34593000
6.29425049,-55.90894000
